ATA_Code,Component_Name,Series,Sub_Components,Hydrogen_Related,CO2_Related,CAOS_Related,Status
54-33-00,LATERAL_LINK_ASSEMBLY,Mounting,0,Yes,No,Yes,Complete
54-34-00,THRUST_LINK_SYSTEM,Mounting,0,Yes,No,Yes,Complete
54-35-00,MOUNT_VIBRATION_ISOLATION,Mounting,0,Yes,No,Yes,Complete
54-36-00,QUICK_ENGINE_CHANGE_SYSTEM,Mounting,0,Yes,No,No,Complete
54-37-00,MOUNT_LOAD_SENSORS_CAOS,Mounting,0,Yes,No,Yes,Complete
54-38-00,MOUNT_BUSHING_SYSTEMS,Mounting,0,Yes,No,Yes,Complete
54-39-00,EMERGENCY_JETTISON_SYSTEM,Mounting,0,Yes,No,Yes,Complete
54-40-00,COWLING_SYSTEMS,Cowling,10,Yes,No,Yes,Complete
54-41-00,FAN_COWL_ASSEMBLY,Cowling,0,Yes,No,Yes,Complete
54-42-00,CORE_COWL_ASSEMBLY,Cowling,0,Yes,No,Yes,Complete
54-43-00,THRUST_REVERSER_COWL,Cowling,0,No,No,Yes,Complete
54-44-00,COWL_LATCHING_SYSTEMS,Cowling,0,No,No,Yes,Complete
54-45-00,COWL_HINGE_SYSTEMS,Cowling,0,No,No,Yes,Complete
54-46-00,COWL_SEALS,Cowling,0,Yes,No,Yes,Complete
54-47-00,COWL_ACCESS_DOORS,Cowling,0,No,No,No,Complete
54-48-00,COWL_POSITION_SENSORS,Cowling,0,No,No,Yes,Complete
54-49-00,COWL_SAFETY_DEVICES,Cowling,0,Yes,No,Yes,Complete
54-50-00,NACELLE_DOORS_AND_PANELS,Doors_Panels,10,Yes,No,Yes,Complete
54-51-00,FAN_REVERSER_DOORS,Doors_Panels,0,No,No,Yes,Complete
54-52-00,BLOCKER_DOORS,Doors_Panels,0,No,No,Yes,Complete
54-53-00,ACCESS_PANELS,Doors_Panels,0,Yes,Yes,No,Complete
54-54-00,INSPECTION_DOORS,Doors_Panels,0,Yes,Yes,No,Complete
54-55-00,SERVICE_DOORS,Doors_Panels,0,Yes,Yes,No,Complete
54-56-00,PANEL_LATCHES,Doors_Panels,0,No,No,Yes,Complete
54-57-00,PANEL_SEALS,Doors_Panels,0,Yes,No,Yes,Complete
54-58-00,PANEL_ACTUATORS,Doors_Panels,0,No,No,Yes,Complete
54-59-00,DOOR_POSITION_INDICATION,Doors_Panels,0,No,No,Yes,Complete
54-60-00,H2_FUEL_CELL_NACELLE_INTEGRATION,H2_Integration,10,Yes,No,Yes,Complete_Detailed
54-61-00,FUEL_CELL_STACK_HOUSING,H2_Integration,0,Yes,No,Yes,Complete
54-62-00,HYDROGEN_SUPPLY_INTEGRATION,H2_Integration,0,Yes,No,Yes,Complete
54-63-00,THERMAL_MANAGEMENT_SYSTEMS,H2_Integration,0,Yes,No,Yes,Complete
54-64-00,AIR_SUPPLY_DUCTING,H2_Integration,0,Yes,No,Yes,Complete
54-65-00,WATER_COLLECTION_SYSTEMS,H2_Integration,0,Yes,No,Yes,Complete
54-66-00,FUEL_CELL_COOLING_INTEGRATION,H2_Integration,0,Yes,No,Yes,Complete
54-67-00,POWER_ELECTRONICS_HOUSING,H2_Integration,0,Yes,No,Yes,Complete
54-68-00,FUEL_CELL_FIRE_PROTECTION,H2_Integration,0,Yes,No,Yes,Complete
54-69-00,FUEL_CELL_ACCESS_PROVISIONS,H2_Integration,0,Yes,No,No,Complete
54-70-00,CO2_CAPTURE_SYSTEM_INTEGRATION,CO2_Integration,10,No,Yes,Yes,Complete
54-71-00,CAPTURE_MODULE_HOUSING,CO2_Integration,0,No,Yes,Yes,Complete
54-72-00,CO2_PROCESSING_EQUIPMENT,CO2_Integration,0,No,Yes,Yes,Complete
54-73-00,CAPTURE_SYSTEM_DUCTING,CO2_Integration,0,No,Yes,Yes,Complete
54-74-00,CO2_STORAGE_INTERFACE,CO2_Integration,0,No,Yes,Yes,Complete
54-75-00,CAPTURE_SYSTEM_THERMAL_MANAGEMENT,CO2_Integration,0,Yes,Yes,Yes,Complete
54-76-00,CAPTURE_SYSTEM_MOUNTING,CO2_Integration,0,No,Yes,Yes,Complete
54-77-00,CAPTURE_SYSTEM_ACCESS,CO2_Integration,0,No,Yes,No,Complete
54-78-00,CAPTURE_SYSTEM_FIRE_PROTECTION,CO2_Integration,0,No,Yes,Yes,Complete
54-79-00,CAPTURE_SYSTEM_SENSORS_CAOS,CO2_Integration,0,No,Yes,Yes,Complete
54-80-00,NACELLE_PYLON_SYSTEMS_INTEGRATION,Systems,10,Yes,Yes,Yes,Complete
54-81-00,ELECTRICAL_DISTRIBUTION,Systems,0,Yes,No,Yes,Complete
54-82-00,HYDRAULIC_ROUTING,Systems,0,No,No,Yes,Complete
54-83-00,PNEUMATIC_SYSTEMS_ROUTING,Systems,0,Yes,No,Yes,Complete
54-84-00,FUEL_SYSTEM_ROUTING_H2,Systems,0,Yes,No,Yes,Complete
54-85-00,FIRE_DETECTION_INTEGRATION,Systems,0,Yes,Yes,Yes,Complete
54-86-00,FIRE_SUPPRESSION_INTEGRATION,Systems,0,Yes,Yes,Yes,Complete
54-87-00,ICE_PROTECTION_INTEGRATION,Systems,0,Yes,No,Yes,Complete
54-88-00,LIGHTING_SYSTEMS,Systems,0,No,No,Yes,Complete
54-89-00,DRAIN_MAST_SYSTEMS,Systems,0,Yes,No,Yes,Complete
54-90-00,NACELLE_PYLON_CAOS_INTEGRATION,CAOS,10,Yes,Yes,Yes,Complete
54-91-00,STRUCTURAL_HEALTH_MONITORING,CAOS,0,Yes,Yes,Yes,Complete
54-92-00,THERMAL_MONITORING_SYSTEMS,CAOS,0,Yes,Yes,Yes,Complete
54-93-00,VIBRATION_MONITORING,CAOS,0,Yes,No,Yes,Complete
54-94-00,LOAD_MONITORING_SYSTEMS,CAOS,0,Yes,No,Yes,Complete
54-95-00,PREDICTIVE_MAINTENANCE_SENSORS,CAOS,0,Yes,Yes,Yes,Complete
54-96-00,DIGITAL_TWIN_INTERFACE,CAOS,0,Yes,Yes,Yes,Complete
54-97-00,ENVIRONMENTAL_SENSORS,CAOS,0,Yes,Yes,Yes,Complete
54-98-00,CAOS_DATA_ACQUISITION,CAOS,0,Yes,Yes,Yes,Complete
54-99-00,FLEET_LEARNING_INTEGRATION,CAOS,0,Yes,Yes,Yes,Complete
