DMC,Title,Info_Code,Type,Issue,Date,Status
AMP-A-02-32-30-70-00A-520A-A,Valve Actuator Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-80-00A-520A-A,Emergency Shutoff Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-90-00A-520A-A,Valve Leak Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-10-00A-520A-A,Refueling Lines Visual Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-20-00A-520A-A,Refueling Lines Pressure Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-30-00A-520A-A,Refueling Lines Leak Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-40-00A-520A-A,Flexible Hose Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-50-00A-520A-A,Flexible Hose Replacement,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-60-00A-520A-A,Rigid Line Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-70-00A-520A-A,Rigid Line Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-80-00A-520A-A,Line Insulation Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-40-90-00A-520A-A,Support Clamp Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-10-00A-520A-A,Leak Detection Sensor Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-20-00A-520A-A,Leak Sensor Calibration,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-30-00A-520A-A,Leak Detection Sensor Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-40-00A-520A-A,Leak Detection Sensor Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-50-00A-520A-A,Leak Detection Control Unit Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-60-00A-520A-A,Control Unit Software Update,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-70-00A-520A-A,Leak Detection Wiring Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-80-00A-520A-A,Leak Detection System Response Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-50-90-00A-520A-A,False Alarm Troubleshooting,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-10-00A-520A-A,Pressure Sensor Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-20-00A-520A-A,Pressure Sensor Calibration,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-30-00A-520A-A,Pressure Sensor Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-40-00A-520A-A,Pressure Sensor Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-50-00A-520A-A,Pressure Transmitter Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-60-00A-520A-A,Pressure Relief Valve Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-70-00A-520A-A,Pressure Relief Valve Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-60-80-00A-520A-A,Pressure System Accuracy Verification,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-70-10-00A-520A-A,Temperature Sensor Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-70-20-00A-520A-A,Temperature Sensor Calibration,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-70-30-00A-520A-A,Temperature Sensor Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-70-40-00A-520A-A,Temperature Sensor Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-70-50-00A-520A-A,Cryogenic Sensor Accuracy Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-70-60-00A-520A-A,Thermal Protection Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-10-00A-520A-A,Ventilation Fan Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-20-00A-520A-A,Ventilation Fan Performance Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-30-00A-520A-A,Ventilation Fan Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-40-00A-520A-A,Ventilation Fan Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-50-00A-520A-A,Ventilation Duct Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-60-00A-520A-A,Ventilation Duct Leak Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-70-00A-520A-A,Ventilation Filter Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-80-00A-520A-A,Ventilation Filter Replacement,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-90-00A-520A-A,Airflow Test 50 ACH,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-80-91-00A-520A-A,Emergency Ventilation Activation Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-90-10-00A-520A-A,Grounding Point Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-90-20-00A-520A-A,Grounding Resistance Test 3 milliohm,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-90-30-00A-520A-A,Bonding Jumper Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-90-40-00A-520A-A,Bonding Jumper Replacement,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-90-50-00A-520A-A,Static Dissipator Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-90-60-00A-520A-A,Grounding Cable Connector Inspection,520,Procedural,001,2025-11-04,Active
