Document_ID,Title,Status,Phase,Traces_To_Requirements,Traces_To_Hazards,Traces_To_VV,Traces_To_Design,Authority,Last_Updated
95-00-10-06-005,SW HW Cert Evidence Overview,DRAFT,06,REQ-CERT-061,,VV-SW-ALL VV-HW-ALL,,DUAL,2025-11-17
95-00-10-07-001,ML Specific Certification Challenges,DRAFT,07,REQ-ML-001,HAZ-ML-001,,,DUAL,2025-11-17
95-00-10-07-002,Data and Dataset Certification Considerations,DRAFT,07,REQ-ML-002,,,DES-DATA-001,DUAL,2025-11-17
95-00-10-07-003,Model Lifecycle Certification Constraints,DRAFT,07,REQ-ML-003,,,DES-ML-001,DUAL,2025-11-17
95-00-10-07-004,Updates and Retraining Policy,DRAFT,07,REQ-ML-004,HAZ-ML-002,,DES-ML-002,DUAL,2025-11-17
95-00-10-07-005,Alignment with EASA AI Roadmap and FAA AI AF,DRAFT,07,REQ-AI-070,,,,DUAL,2025-11-17
95-00-10-08-001,Certification Tests Overview,DRAFT,08,REQ-TEST-001,,VV-TEST-ALL,,DUAL,2025-11-17
95-00-10-08-002,Qualification Tests Definition,DRAFT,08,REQ-TEST-002,,VV-QUAL-ALL,,DUAL,2025-11-17
95-00-10-08-003,Witnessed Tests and Authority Involvement,DRAFT,08,REQ-TEST-003,,VV-WITNESS-ALL,,DUAL,2025-11-17
95-00-10-08-004,Environmental and Operational Qualification Tests,DRAFT,08,REQ-TEST-004,,VV-ENV-ALL,,DUAL,2025-11-17
95-00-10-08-005,Test Reports and Summary for Authorities,DRAFT,08,REQ-TEST-005,,VV-REPORT-ALL,,DUAL,2025-11-17
95-00-10-09-001,Audit Strategy and Types,DRAFT,09,REQ-AUDIT-001,,,,DUAL,2025-11-17
95-00-10-09-002,Internal Audits and Prep,DRAFT,09,REQ-AUDIT-002,,,,DUAL,2025-11-17
95-00-10-09-003,Authority Audits and Inspections,DRAFT,09,REQ-AUDIT-003,,,,DUAL,2025-11-17
95-00-10-09-004,Findings Classification and Tracking,DRAFT,09,REQ-AUDIT-004,,,,DUAL,2025-11-17
95-00-10-09-005,Corrective Actions and Preventive Actions,DRAFT,09,REQ-AUDIT-005,,,,DUAL,2025-11-17
95-00-10-10-001,Authority Interface Strategy,DRAFT,10,REQ-AUTH-001,,,,DUAL,2025-11-17
95-00-10-10-002,Formal Submissions and Dossiers,DRAFT,10,REQ-AUTH-002,,,,DUAL,2025-11-17
95-00-10-10-003,Meetings and Technical Briefings,DRAFT,10,REQ-AUTH-003,,,,DUAL,2025-11-17
95-00-10-10-004,Questions and Clarifications Tracking,DRAFT,10,REQ-AUTH-004,,,,DUAL,2025-11-17
95-00-10-10-005,Configuration of Submitted Material,DRAFT,10,REQ-AUTH-005,,,,DUAL,2025-11-17
95-00-10-11-001,Continuing Airworthiness Strategy for NN,DRAFT,11,REQ-CA-001,,,DES-AI-030,DUAL,2025-11-17
95-00-10-11-002,InService Monitoring and Feedback to Cert,DRAFT,11,REQ-CA-002,HAZ-OPS-001,VV-OPS-001,,DUAL,2025-11-17
95-00-10-11-003,Service Bulletins and Airworthiness Directives Interface,DRAFT,11,REQ-CA-003,,,,DUAL,2025-11-17
95-00-10-11-004,Changes in Operation and Cert Impact,DRAFT,11,REQ-CA-004,,,,DUAL,2025-11-17
95-00-10-11-005,LongTerm Support and Obsolescence Management,DRAFT,11,REQ-CA-005,,,,DUAL,2025-11-17
95-00-10-12-001,Change Control Policy for Certified NN,DRAFT,12,REQ-CC-001,,,DES-CFG-001,DUAL,2025-11-17
95-00-10-12-002,Minor vs Major Changes Classification,DRAFT,12,REQ-CC-002,,,,DUAL,2025-11-17
95-00-10-12-003,Change Impact on Certification Basis,DRAFT,12,REQ-CC-003,,,,DUAL,2025-11-17
95-00-10-12-004,Change Approval Workflows,DRAFT,12,REQ-CC-004,,,,DUAL,2025-11-17
95-00-10-12-005,Links to Configuration Management and DPP,DRAFT,12,REQ-CC-005,,,DES-DPP-001,DUAL,2025-11-17
95-00-10-13-001,DPP Cert Evidence Strategy,DRAFT,13,REQ-DPP-001,,,DES-DPP-002,DUAL,2025-11-17
95-00-10-13-002,OnChain Representation of Cert States,DRAFT,13,REQ-DPP-002,,,DES-DPP-003,DUAL,2025-11-17
95-00-10-13-003,Smart Contracts for Cert Evidence,DRAFT,13,REQ-DPP-003,,,DES-DPP-004,DUAL,2025-11-17
95-00-10-13-004,Audit and Transparency Requirements,DRAFT,13,REQ-DPP-004,,,,DUAL,2025-11-17
95-00-10-13-005,Privacy and Confidentiality Constraints,DRAFT,13,REQ-DPP-005,,,,DUAL,2025-11-17
95-00-10-14-001,Certification Packaging Strategy,DRAFT,14,REQ-PKG-001,,,,DUAL,2025-11-17
95-00-10-14-002,Internal vs External Packages,DRAFT,14,REQ-PKG-002,,,,DUAL,2025-11-17
95-00-10-14-003,Archival Policies and Retention Times,DRAFT,14,REQ-PKG-003,,,,DUAL,2025-11-17
95-00-10-14-004,Secure Storage and Access Control,DRAFT,14,REQ-PKG-004,,,,DUAL,2025-11-17
95-00-10-14-005,Certification Closure and Exit Criteria,DRAFT,14,REQ-PKG-005,,,,DUAL,2025-11-17
