Req_ID,Source_Type,Source_Doc,Source_Section,Design_Implementation,Verification_Doc,Validation_Doc,Status
RQ-02-00-08-006,CAOS Spec,CAOS-OPT-001,Route Optimization,ATA 95-20-00 Flight Optimizer,VER-95-20-001,VAL-95-20-001,In Progress
RQ-02-00-08-007,CAOS Spec,CAOS-OPT-002,Fuel Optimization,ATA 95-20-00 Fuel Manager,VER-95-20-002,VAL-95-20-002,In Progress
RQ-02-00-08-016,Human Factors Spec,HF-CAOS-001,Human Authority,ATA 95 Human-AI Interface,VER-95-30-001,VAL-95-30-001,Verified
RQ-02-00-08-017,Human Factors Spec,HF-CAOS-002,Override Capability,ATA 95 Override Mechanism,VER-95-30-002,VAL-95-30-002,Verified
RQ-02-00-09-001,Human Factors Spec,HF-WL-001,Workload Management,Cockpit Design Specification,VER-31-00-001,VAL-31-00-001,Verified
RQ-02-00-09-020,Human Factors Spec,HF-TRUST-001,Trust Calibration,ATA 95 Trust Interface,VER-95-30-020,VAL-95-30-020,In Progress
RQ-02-00-10-001,Training Spec,TRN-TYPE-001,Type Rating Ground,Training Program TP-001,VER-TRN-001,VAL-TRN-001,Approved
RQ-02-00-10-004,Training Spec,TRN-H2-001,H2 Systems Training,H2 Training Module HTM-001,VER-TRN-H2-001,VAL-TRN-H2-001,Approved
RQ-02-00-10-006,Training Spec,TRN-CAOS-001,CAOS Training,CAOS Training Module CTM-001,VER-TRN-CAOS-001,VAL-TRN-CAOS-001,In Progress
RQ-02-00-11-001,Regulation,CS-25.1581,AFM Requirements,AFM Document Structure,VER-DOC-001,VAL-DOC-001,Verified
RQ-02-00-11-006,Standard,S1000D Issue 5.0,Data Modules,Technical Publications System,VER-DOC-006,VAL-DOC-006,Verified
RQ-02-00-11-007,Standard,ATA iSpec 2200,Chapter Codes,Maintenance Manual Structure,VER-DOC-007,VAL-DOC-007,Verified
RQ-02-00-12-001,Environmental Policy,ENV-001,Zero Emissions,ATA 71 Fuel Cell + ATA 28 H2,VER-ENV-001,VAL-ENV-001,Validated
RQ-02-00-12-002,Environmental Policy,ENV-002,Carbon Negative,ATA 21-80 CO2 Capture System,VER-ENV-002,VAL-ENV-002,In Progress
RQ-02-00-12-011,Environmental Policy,ENV-011,CO2 Capture Rate,ATA 21-80 Sorbent System,VER-ENV-011,VAL-ENV-011,In Progress
RQ-02-00-13-001,Integration Spec,INT-ATA05-001,Maintenance Interface,ATA 05 Integration Document,VER-INT-001,VAL-INT-001,Verified
RQ-02-00-13-005,Integration Spec,INT-ATA28-001,H2 Fuel Interface,ATA 28 Interface Control Doc,VER-INT-005,VAL-INT-005,Verified
RQ-02-00-13-007,Integration Spec,INT-ATA71-001,Fuel Cell Interface,ATA 71 Interface Control Doc,VER-INT-007,VAL-INT-007,Verified
RQ-02-00-13-008,Integration Spec,INT-ATA95-001,CAOS Interface,ATA 95 Integration Document,VER-INT-008,VAL-INT-008,In Progress
RQ-02-00-14-001,Functional Spec,FUNC-FP-001,Flight Planning,Flight Planning System FPS-1,VER-FUNC-001,VAL-FUNC-001,Verified
RQ-02-00-14-004,Functional Spec,FUNC-H2-001,H2 Fuel Calculation,H2 Fuel Management System,VER-FUNC-004,VAL-FUNC-004,Verified
RQ-02-00-14-016,Functional Spec,FUNC-MON-001,Real-Time Monitoring,Monitoring System Architecture,VER-FUNC-016,VAL-FUNC-016,Verified
RQ-02-00-14-020,Functional Spec,FUNC-FLEET-001,Fleet Data Sharing,ATA 95 Fleet Learning Module,VER-FUNC-020,VAL-FUNC-020,In Progress
