Req_ID,Category,Subcategory,Title,Priority,Status,Source,Parent_ATA,Verification_Method,Criticality
RQ-02-00-05-010,H2 Operations,Safety,Fire Equipment on Standby During Refueling,Critical,Approved,Safety Analysis,02-30-00,Demonstration,Safety
RQ-02-00-05-011,H2 Operations,Training,Personnel H2 Certification 8 Hours Minimum,Critical,Approved,Training Requirements,02-30-00,Demonstration,Safety
RQ-02-00-05-012,H2 Operations,Safety,Leak Detection Operational Before Refueling,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-05-013,H2 Operations,Ventilation,Normal Ventilation 10 Air Changes/Hour,High,Approved,Design Specification,02-30-00,Test,Safety
RQ-02-00-05-014,H2 Operations,Ventilation,Emergency Ventilation 50 Air Changes/Hour,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-05-015,H2 Operations,Monitoring,LEL Monitoring Continuous During Ops,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-05-016,H2 Operations,Testing,Pressure Test 5 bar for 30 Seconds,Critical,Approved,Maintenance Requirements,02-30-00,Test,Safety
RQ-02-00-05-017,H2 Operations,Procedures,Cooldown Period 10 Minutes Post-Refuel,High,Approved,Operations Requirements,02-30-00,Demonstration,Operations
RQ-02-00-05-018,H2 Operations,Emergency,Emergency Defueling 60 Minutes Maximum,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-05-019,H2 Operations,Quality,H2 Quality per SAE J2719 Standard,Critical,Approved,Operations Requirements,02-30-00,Test,Safety
RQ-02-00-05-020,H2 Operations,Monitoring,Tank Integrity Continuous Monitoring,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-06-001,BWB Operations,CG,CG Range 15-42% MAC,Critical,Approved,Flight Control Analysis,02-00-00,Test,Safety
RQ-02-00-06-002,BWB Operations,Loading,Loading Distribution Critical Management,Critical,Approved,Operations Requirements,02-00-00,Analysis,Safety
RQ-02-00-06-003,BWB Operations,Seating,Passenger Seating Control System,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-06-004,BWB Operations,Cargo,Cargo Distribution Limits Defined,Critical,Approved,Operations Requirements,02-00-00,Inspection,Safety
RQ-02-00-06-005,BWB Operations,Balance,Lateral Imbalance Limit 500 kg,Critical,Approved,Flight Control Analysis,02-00-00,Test,Safety
RQ-02-00-06-006,BWB Operations,Rotation,Rotation Rate 5 deg/sec Maximum,Critical,Approved,Flight Control Analysis,02-00-00,Test,Safety
RQ-02-00-06-007,BWB Operations,Landing,BWB-Specific Flare Technique,Critical,Approved,Flight Test Data,02-00-00,Demonstration,Safety
RQ-02-00-06-008,BWB Operations,Ground,Ground Clearance Monitoring System,Critical,Approved,Design Specification,02-00-00,Test,Safety
RQ-02-00-06-009,BWB Operations,Dimensions,Wingspan 80m Code F Compliance,High,Approved,Design Specification,02-00-00,Analysis,Operations
RQ-02-00-06-010,BWB Operations,Ground,Wide Taxiway Required for Turning,High,Approved,Operations Requirements,02-00-00,Analysis,Operations
RQ-02-00-06-011,BWB Operations,Ground,BWB Gate Compatibility Requirements,High,Approved,Operations Requirements,02-00-00,Analysis,Operations
RQ-02-00-06-012,BWB Operations,Ground,BWB-Specific Towing Procedures,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-06-013,BWB Operations,Emergency,Evacuation Time 90 Seconds,Critical,Approved,CS-25.803,02-00-00,Test,Safety
RQ-02-00-06-014,BWB Operations,Emergency,Emergency Exit Distribution Optimized,Critical,Approved,CS-25.807,02-00-00,Analysis,Safety
RQ-02-00-06-015,BWB Operations,Cabin,Wide Body Cabin Procedures,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-07-001,Fuel Cell Ops,Power,Total Power Output 10 MW,Critical,Approved,Design Specification,02-90-00,Test,Performance
RQ-02-00-07-002,Fuel Cell Ops,Power,Individual Stack Power 2.5 MW,Critical,Approved,Design Specification,02-90-00,Test,Performance
RQ-02-00-07-003,Fuel Cell Ops,Efficiency,Stack Efficiency 55-60%,High,Approved,Design Specification,02-90-00,Test,Performance
RQ-02-00-07-004,Fuel Cell Ops,Temperature,Operating Temperature 60-80C,Critical,Approved,Design Specification,02-90-00,Test,Safety
RQ-02-00-07-005,Fuel Cell Ops,Start,Cold Start Time 3 Minutes Maximum,High,Approved,Operations Requirements,02-90-00,Test,Operations
RQ-02-00-07-006,Fuel Cell Ops,Start,Hot Start Time 30 Seconds Maximum,High,Approved,Operations Requirements,02-90-00,Test,Operations
RQ-02-00-07-007,Fuel Cell Ops,Response,Power Response Time 3 Seconds,Critical,Approved,Design Specification,02-90-00,Test,Safety
RQ-02-00-07-008,Fuel Cell Ops,Safety,Emergency Shutdown 30 Seconds Maximum,Critical,Approved,Safety Analysis,02-90-00,Test,Safety
RQ-02-00-07-009,Fuel Cell Ops,Thermal,Thermal Management System Mandatory,Critical,Approved,Design Specification,02-90-00,Test,Safety
RQ-02-00-07-010,Fuel Cell Ops,Distribution,Load Distribution Optimized Across Stacks,High,Approved,CAOS Requirements,02-90-00,Test,Performance
RQ-02-00-07-011,Fuel Cell Ops,Monitoring,Stack Monitoring Continuous,Critical,Approved,Operations Requirements,02-90-00,Test,Safety
RQ-02-00-07-012,Fuel Cell Ops,Monitoring,Degradation Monitoring System,High,Approved,Maintenance Requirements,02-90-00,Test,Operations
RQ-02-00-07-013,Fuel Cell Ops,Degradation,Graceful Degradation Capability,Critical,Approved,Safety Analysis,02-90-00,Test,Safety
RQ-02-00-07-014,Fuel Cell Ops,Isolation,Stack Isolation Capability,Critical,Approved,Safety Analysis,02-90-00,Test,Safety
RQ-02-00-07-015,Fuel Cell Ops,Maintenance,Predictive Maintenance via CAOS,High,Approved,CAOS Requirements,02-90-00,Demonstration,Operations
RQ-02-00-08-001,CAOS,Integration,Digital Twin Real-Time Integration,High,Approved,CAOS Architecture,02-90-00,Test,Performance
RQ-02-00-08-002,CAOS,Integration,Real-Time Synchronization 100ms,High,Approved,CAOS Architecture,02-90-00,Test,Performance
RQ-02-00-08-003,CAOS,Analytics,Predictive Analytics Enabled,High,Approved,CAOS Architecture,02-90-00,Demonstration,Performance
RQ-02-00-08-004,CAOS,AI,Neural Network Models 20+ Active,High,Approved,CAOS Architecture,02-90-00,Demonstration,Performance
RQ-02-00-08-005,CAOS,Learning,Fleet Learning Enabled,High,Approved,CAOS Architecture,02-90-00,Demonstration,Performance
RQ-02-00-08-006,CAOS,Optimization,Route Optimization 3-7% Improvement,High,Approved,CAOS Requirements,02-90-00,Test,Performance
RQ-02-00-08-007,CAOS,Optimization,Fuel Optimization 8-15% Improvement,High,Approved,CAOS Requirements,02-90-00,Test,Performance
RQ-02-00-08-008,CAOS,Optimization,Altitude Optimization Continuous,High,Approved,CAOS Requirements,02-90-00,Demonstration,Performance
RQ-02-00-08-009,CAOS,Optimization,Speed Optimization Real-Time,High,Approved,CAOS Requirements,02-90-00,Demonstration,Performance
RQ-02-00-08-010,CAOS,Weather,Weather Avoidance AI System,High,Approved,CAOS Requirements,02-90-00,Demonstration,Performance
RQ-02-00-08-011,CAOS,Weather,Turbulence Prediction and Avoidance,High,Approved,CAOS Requirements,02-90-00,Demonstration,Performance
RQ-02-00-08-012,CAOS,Prediction,Fuel Burn Prediction Within 2%,High,Approved,CAOS Requirements,02-90-00,Test,Performance
RQ-02-00-08-013,CAOS,Prediction,Arrival Time Prediction Within 2 Minutes,High,Approved,CAOS Requirements,02-90-00,Test,Performance
RQ-02-00-08-014,CAOS,Prediction,Maintenance Prediction 500 FH Advance,High,Approved,CAOS Requirements,02-90-00,Test,Operations
RQ-02-00-08-015,CAOS,Detection,Anomaly Detection 85% Accuracy,High,Approved,CAOS Requirements,02-90-00,Test,Safety
RQ-02-00-08-016,CAOS,Authority,Human Authority Final Decision,Critical,Approved,Human Factors Analysis,02-90-00,Demonstration,Safety
RQ-02-00-08-017,CAOS,Override,Override Capability Single Action,Critical,Approved,Human Factors Analysis,02-90-00,Test,Safety
RQ-02-00-08-018,CAOS,Transparency,AI Transparency with Explanations,High,Approved,Human Factors Analysis,02-90-00,Demonstration,Safety
RQ-02-00-08-019,CAOS,Transparency,Confidence Levels Displayed,High,Approved,Human Factors Analysis,02-90-00,Demonstration,Safety
RQ-02-00-08-020,CAOS,Safety,Independent Safety Monitor,Critical,Approved,AI Safety Requirements,02-90-00,Test,Safety
RQ-02-00-08-021,CAOS,Validation,Continuous Validation of AI Models,High,Approved,AI Safety Requirements,02-90-00,Demonstration,Safety
RQ-02-00-08-022,CAOS,Audit,Decision Audit Trail Complete,Critical,Approved,Regulatory Requirements,02-90-00,Test,Safety
RQ-02-00-08-023,CAOS,Updates,Model Updates Monthly Maximum,High,Approved,AI Safety Requirements,02-90-00,Demonstration,Operations
RQ-02-00-08-024,CAOS,Monitoring,Performance Monitoring Continuous,High,Approved,CAOS Requirements,02-90-00,Demonstration,Performance
RQ-02-00-08-025,CAOS,Workload,Crew Workload Reduction 30%,High,Approved,Human Factors Analysis,02-90-00,Demonstration,Performance
RQ-02-00-09-001,Human Factors,Workload,Crew Workload Management System,Critical,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-002,Human Factors,Awareness,Situational Awareness Design,Critical,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-003,Human Factors,Support,Decision Support Appropriate Level,High,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-004,Human Factors,Automation,Automation Surprise Prevention,Critical,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-005,Human Factors,Automation,Mode Awareness Clear Indication,Critical,Approved,Human Factors Analysis,02-00-00,Test,Safety
RQ-02-00-09-006,Human Factors,Alerts,Alerting Hierarchy Defined,Critical,Approved,Human Factors Analysis,02-00-00,Inspection,Safety
RQ-02-00-09-007,Human Factors,Alerts,Alarm Management Effective,Critical,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-008,Human Factors,Communication,Crew Communication Facilitated,High,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-009,Human Factors,CRM,CRM Procedures Integrated,Critical,Approved,Training Requirements,02-00-00,Demonstration,Safety
RQ-02-00-09-010,Human Factors,Fatigue,Fatigue Management Program,Critical,Approved,EU 965/2012,02-00-00,Demonstration,Safety
RQ-02-00-09-011,Human Factors,Ergonomics,Ergonomics Optimized for Crew,High,Approved,Human Factors Analysis,02-00-00,Inspection,Operations
RQ-02-00-09-012,Human Factors,Visibility,Visibility Requirements Met,Critical,Approved,CS-25.773,02-00-00,Test,Safety
RQ-02-00-09-013,Human Factors,Reachability,Controls Reachable by All Crew,Critical,Approved,CS-25.777,02-00-00,Test,Safety
RQ-02-00-09-014,Human Factors,Labeling,Labeling Clear and Consistent,High,Approved,Human Factors Analysis,02-00-00,Inspection,Operations
RQ-02-00-09-015,Human Factors,Error,Error Tolerance in Design,High,Approved,Human Factors Analysis,02-00-00,Analysis,Safety
RQ-02-00-09-016,Human Factors,Error,Error Recovery Facilitated,High,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-017,Human Factors,Training,Training Effectiveness Measured,High,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-09-018,Human Factors,Cognitive,Cognitive Load Appropriate,High,Approved,Human Factors Analysis,02-00-00,Analysis,Safety
RQ-02-00-09-019,Human Factors,Mental Models,Mental Models Supported,High,Approved,Human Factors Analysis,02-00-00,Demonstration,Safety
RQ-02-00-09-020,Human Factors,Trust,Trust Calibration with CAOS,Critical,Approved,Human Factors Analysis,02-90-00,Demonstration,Safety
RQ-02-00-10-001,Training,Type Rating,Type Rating 40 Hours Ground School,Critical,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-002,Training,Simulator,Simulator Training 16 Hours Minimum,Critical,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-003,Training,BWB,BWB Handling Training 5 Hours,Critical,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-004,Training,H2,H2 Systems Training 3 Hours,Critical,Approved,Training Requirements,02-30-00,Demonstration,Safety
RQ-02-00-10-005,Training,Fuel Cell,Fuel Cell Systems Training 2 Hours,Critical,Approved,Training Requirements,02-90-00,Demonstration,Operations
RQ-02-00-10-006,Training,CAOS,CAOS Operations Training 3 Hours,Critical,Approved,Training Requirements,02-90-00,Demonstration,Operations
RQ-02-00-10-007,Training,Emergency,Emergency Procedures Training 4 Hours,Critical,Approved,Training Requirements,02-00-00,Demonstration,Safety
RQ-02-00-10-008,Training,H2 Safety,H2 Safety Training Mandatory,Critical,Approved,Safety Analysis,02-30-00,Demonstration,Safety
RQ-02-00-10-009,Training,Cabin Crew,Cabin Crew Training 16 Hours,Critical,Approved,Training Requirements,02-00-00,Demonstration,Safety
RQ-02-00-10-010,Training,Evacuation,H2 Evacuation Training Specific,Critical,Approved,Training Requirements,02-30-00,Demonstration,Safety
RQ-02-00-10-011,Training,Dispatch,Dispatcher Training 24 Hours,High,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-012,Training,Fuel Planning,H2 Fuel Planning Training 6 Hours,Critical,Approved,Training Requirements,02-30-00,Demonstration,Operations
RQ-02-00-10-013,Training,Ground Ops,Ground Operations H2 Training,Critical,Approved,Training Requirements,02-30-00,Demonstration,Safety
RQ-02-00-10-014,Training,Refueling,H2 Refueling Certification 8 Hours,Critical,Approved,Safety Analysis,02-30-00,Demonstration,Safety
RQ-02-00-10-015,Training,Recurrent,Recurrent Training Annual,Critical,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-016,Training,Emergency Drills,Emergency Response Drills Quarterly,Critical,Approved,Safety Analysis,02-00-00,Demonstration,Safety
RQ-02-00-10-017,Training,Assessment,Competency Assessment Standards,Critical,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-018,Training,Instructors,Instructor Qualification Standards,Critical,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-019,Training,CBT,CBT Effectiveness Measured,High,Approved,Training Requirements,02-00-00,Demonstration,Operations
RQ-02-00-10-020,Training,Records,Training Records Maintained,Critical,Approved,Regulatory Requirements,02-00-00,Inspection,Operations
RQ-02-00-11-001,Documentation,AFM,AFM CS25.1581 Compliant,Critical,Approved,CS-25.1581,02-00-00,Inspection,Safety
RQ-02-00-11-002,Documentation,FCOM,FCOM Structure Standard Format,Critical,Approved,Documentation Standards,02-00-00,Inspection,Operations
RQ-02-00-11-003,Documentation,QRH,QRH Format Approved,Critical,Approved,Documentation Standards,02-00-00,Inspection,Safety
RQ-02-00-11-004,Documentation,W&B,Weight & Balance Manual Accurate,Critical,Approved,CS-25.1583,02-00-00,Inspection,Safety
RQ-02-00-11-005,Documentation,MEL,MEL Based on MMEL,Critical,Approved,Regulatory Requirements,02-00-00,Inspection,Safety
RQ-02-00-11-006,Documentation,S1000D,S1000D Specification Compliance,High,Approved,S1000D Standard,02-00-00,Inspection,Operations
RQ-02-00-11-007,Documentation,ATA iSpec,ATA iSpec 2200 Compliance,High,Approved,ATA iSpec 2200,02-00-00,Inspection,Operations
RQ-02-00-11-008,Documentation,Version Control,Document Version Control System,Critical,Approved,Quality Requirements,02-00-00,Demonstration,Operations
RQ-02-00-11-009,Documentation,Configuration,Configuration Management System,Critical,Approved,Quality Requirements,02-00-00,Demonstration,Operations
RQ-02-00-11-010,Documentation,Change Control,Change Control Process Defined,Critical,Approved,Quality Requirements,02-00-00,Demonstration,Operations
RQ-02-00-11-011,Documentation,History,Revision History Complete,High,Approved,Quality Requirements,02-00-00,Inspection,Operations
RQ-02-00-11-012,Documentation,Distribution,Document Distribution Controlled,High,Approved,Quality Requirements,02-00-00,Demonstration,Operations
RQ-02-00-11-013,Documentation,Digital,Digital Access via EFB,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-11-014,Documentation,Accessibility,Accessibility Requirements Met,High,Approved,Documentation Standards,02-00-00,Inspection,Operations
RQ-02-00-11-015,Documentation,Language,Multi-Language Support,High,Approved,Market Requirements,02-00-00,Inspection,Operations
RQ-02-00-11-016,Documentation,Graphics,Graphics Standards Clear,High,Approved,Documentation Standards,02-00-00,Inspection,Operations
RQ-02-00-11-017,Documentation,Units,Units Consistency SI and Imperial,High,Approved,Documentation Standards,02-00-00,Inspection,Operations
RQ-02-00-11-018,Documentation,Terminology,Terminology Standardized,High,Approved,Documentation Standards,02-00-00,Inspection,Operations
