Requirement_ID,Requirement_Type,Description,Component_ID,Model_ID,ATA_Chapter,Test_Case_IDs,Verification_Method,Status,Compliance_Standard,Notes
CR-FCS-003,Certification,DO-333 formal verification for critical properties,95-20-27-009,envelope_protection_v1.0,ATA-27,"TC-300,TC-301",Formal Methods,VERIFIED,DO-333,Input bounds and safety properties proven
CR-FCS-004,Certification,EASA SC-AI compliance for ML systems,95-20-27-009,All,ATA-95,"TC-310,TC-311,TC-312",Documentation Review,IN PROGRESS,EASA SC-AI,Compliance report submitted
CR-FCS-005,Certification,CS-25.143 Controllability and maneuverability,95-20-27-009,All,ATA-27,"TC-320,TC-321",Flight Test,VERIFIED,CS-25.143,Demonstrated in flight test
CR-FCS-006,Certification,CS-25.1309 Equipment systems and installations (FHA FTA FMEA),95-20-27-009,All,ATA-27,"TC-330,TC-331",Safety Assessment,VERIFIED,CS-25.1309,Prob <10^-9 /FH demonstrated
SR-FCS-001,Safety,Catastrophic failure probability <10^-9 per flight hour,95-20-27-009,All,ATA-27,"SA-FTA-001",Fault Tree Analysis,VERIFIED,ARP-4761,2.3E-10 /FH calculated
SR-FCS-002,Safety,No single-point failures leading to loss of control,95-20-27-009,All,ATA-27,"SA-FMEA-001",FMEA,VERIFIED,ARP-4761,All SPFs mitigated by redundancy
SR-FCS-003,Safety,Independent fallback to conventional FCS,95-20-27-009,All,ATA-27,"TC-400,TC-401",HIL Test,VERIFIED,DO-178C,Dissimilar redundancy validated
SR-FCS-004,Safety,Envelope protection false negative rate = 0%,95-20-27-005,envelope_protection_v1.0,ATA-27,"TC-030,TC-031,TC-032",Test,VERIFIED,DO-178C + DO-333,100% detection rate in all scenarios
TR-FCS-001,Training,Training data quality and coverage,95-20-27-009,All,ATA-95,"TD-001,TD-002",Data Review,VERIFIED,EASA SC-AI,50k CFD + 5k wind tunnel + 2k flight hours
TR-FCS-002,Training,Model verification and validation,95-20-27-009,All,ATA-95,"TC-ALL",V&V Review,IN PROGRESS,EASA SC-AI,Verification matrix 95% complete
TR-FCS-003,Training,Model explainability and interpretability,95-20-27-009,All,ATA-95,"EX-001,EX-002",Analysis,VERIFIED,EASA SC-AI,SHAP analysis and sensitivity studies complete
TR-FCS-004,Training,Robustness to adversarial inputs,95-20-27-009,All,ATA-95,"TC-500,TC-501",Test,VERIFIED,EASA SC-AI,Adversarial testing with 50k trials
OP-FCS-001,Operational,Crew training requirements defined,95-20-27-010,All,ATA-27,"TR-001,TR-002",Training Completion,VERIFIED,N/A,4hr ground + 2hr sim initial training
OP-FCS-002,Operational,Maintenance procedures documented,95-20-27-010,All,ATA-27,"MT-001,MT-002",Documentation Review,VERIFIED,N/A,Maintenance manual complete
OP-FCS-003,Operational,MEL dispatch restrictions defined,95-20-27-010,All,ATA-27,"MEL-001",MEL Review,VERIFIED,N/A,MEL entries approved
OP-FCS-004,Operational,Emergency procedures validated,95-20-27-010,All,ATA-27,"EP-001,EP-002,EP-003",Simulator,VERIFIED,N/A,All emergency scenarios tested
