Equipment_Name,Part_Number,Serial_Number,Location,Weight_kg,CG_Arm_m,Installation_Date,Status,Aircraft_MSN,Notes
Weather Radar,AMP-WXR-200,WXR-01-001,Station 4.0 Nose,35,4.0,2027-03-28,Installed,MSN-0001,C-band weather radar
TCAS System,AMP-TCAS-100,TCAS-01-001,Station 7.0 Avionics Bay,15,7.0,2027-03-28,Installed,MSN-0001,Traffic alert and collision avoidance
Cockpit Voice Recorder,AMP-CVR-25H,CVR-01-001,Station 9.0 Avionics Bay,12,9.0,2027-03-29,Installed,MSN-0001,25-hour solid state
Flight Data Recorder,AMP-FDR-25H,FDR-01-001,Station 9.5 Avionics Bay,14,9.5,2027-03-29,Installed,MSN-0001,25-hour solid state
Emergency Locator Transmitter,AMP-ELT-406,ELT-01-001,Station 44.0 Aft,5,44.0,2027-03-29,Installed,MSN-0001,406 MHz ELT
Passenger Seats (220),AMP-SEAT-STD,SEAT-BLOCK-001,Stations 10-38,3300,24.0,2027-04-01,Installed,MSN-0001,220 seats @ 15kg average
Emergency Slides (8),AMP-SLIDE-TYPE-A,SLIDE-SET-001,Various Doors,160,16.0,2027-04-02,Installed,MSN-0001,Type-A emergency slides
Galley Forward,AMP-GALLEY-FWD,GAL-F-001,Station 10.0,285,10.0,2027-04-03,Installed,MSN-0001,Forward service galley
Galley Aft,AMP-GALLEY-AFT,GAL-A-001,Station 36.0,285,36.0,2027-04-03,Installed,MSN-0001,Aft service galley
Lavatory 1 Forward Port,AMP-LAV-STD,LAV-01-001,Station 11.0 Port,95,11.0,2027-04-04,Installed,MSN-0001,Standard lavatory
Lavatory 2 Forward Stbd,AMP-LAV-STD,LAV-02-001,Station 11.0 Stbd,95,11.0,2027-04-04,Installed,MSN-0001,Standard lavatory
Lavatory 3 Mid Port,AMP-LAV-STD,LAV-03-001,Station 24.0 Port,95,24.0,2027-04-04,Installed,MSN-0001,Standard lavatory
Lavatory 4 Mid Stbd,AMP-LAV-STD,LAV-04-001,Station 24.0 Stbd,95,24.0,2027-04-04,Installed,MSN-0001,Standard lavatory
Lavatory 5 Aft Port,AMP-LAV-STD,LAV-05-001,Station 37.0 Port,95,37.0,2027-04-04,Installed,MSN-0001,Standard lavatory
Lavatory 6 Aft Stbd,AMP-LAV-STD,LAV-06-001,Station 37.0 Stbd,95,37.0,2027-04-04,Installed,MSN-0001,Standard lavatory
In-Flight Entertainment,AMP-IFE-SYSTEM,IFE-01-001,Throughout Cabin,420,22.0,2027-04-05,Installed,MSN-0001,IFE system with 220 screens
WiFi System,AMP-WIFI-100,WIFI-01-001,Station 15.0 Ceiling,25,15.0,2027-04-05,Installed,MSN-0001,Passenger and crew WiFi
Cargo Loading System,AMP-CLS-FWD,CLS-F-001,Station 6.0 Forward Hold,180,6.0,2027-04-06,Installed,MSN-0001,Powered cargo handling
Fire Suppression Sys,AMP-FIRE-HALON,FIRE-01-001,Various Zones,145,18.0,2027-04-07,Installed,MSN-0001,Halon fire suppression
Hydraulic System 1,AMP-HYD-A-200,HYD-A-001,Station 14.0,195,14.0,2027-03-19,Installed,MSN-0001,Primary hydraulic system
Hydraulic System 2,AMP-HYD-B-200,HYD-B-001,Station 22.0,195,22.0,2027-03-19,Installed,MSN-0001,Backup hydraulic system
Wing Anti-Ice System,AMP-WAIS-ELEC,WAIS-01-001,Wing Leading Edges,240,16.0,2027-04-08,Installed,MSN-0001,Electric anti-ice
