Interface_ID,Interface_Name,Category,Requirement_IDs,Design_IDs,Implementation_IDs,Test_IDs,Status,Owner,Criticality
95-00-05-03-009,ATA 45 Maintenance IF,SYSTEM,"REQ-028,REQ-054",DES-309,IMPL-409,TEST-515,ACTIVE,Maintenance Ops,DAL D
95-00-05-04-001,EASA FAA IF Requirements,CERT,"REQ-060,REQ-061,REQ-062",DES-401,IMPL-501,"TEST-601,TEST-602",ACTIVE,Certification Team,DAL A
95-00-05-04-002,AI Compliance APIs,CERT,"REQ-063,REQ-064",DES-402,IMPL-502,TEST-603,ACTIVE,Certification Team,DAL A
95-00-05-04-003,Explainability Interface,CERT,"REQ-065,REQ-066",DES-403,IMPL-503,"TEST-604,TEST-605",ACTIVE,AI/ML Team,DAL A
95-00-05-04-004,Human Factors Interface,CERT,"REQ-067,REQ-068",DES-404,IMPL-504,TEST-606,ACTIVE,Human Factors,DAL B
95-00-05-04-005,Audit Trail Interface,CERT,"REQ-069,REQ-070",DES-405,IMPL-505,TEST-607,ACTIVE,Certification Team,DAL A
95-00-05-04-006,DO 178C Evidence IF,CERT,"REQ-071,REQ-072,REQ-073",DES-406,IMPL-506,"TEST-608,TEST-609",ACTIVE,Certification Team,DAL A
95-00-05-05-001,Cybersecurity Interface,SECURITY,"REQ-080,REQ-081,REQ-082",DES-501,IMPL-601,"TEST-701,TEST-702",ACTIVE,Cybersecurity Team,DAL B
95-00-05-05-002,Privacy Data Protection IF,SECURITY,"REQ-083,REQ-084",DES-502,IMPL-602,TEST-703,ACTIVE,Cybersecurity Team,DAL C
95-00-05-05-003,Access Control Audit IF,SECURITY,"REQ-085,REQ-086",DES-503,IMPL-603,"TEST-704,TEST-705",ACTIVE,Cybersecurity Team,DAL B
95-00-05-05-004,Crypto Key Management IF,SECURITY,"REQ-087,REQ-088,REQ-089",DES-504,IMPL-604,TEST-706,ACTIVE,Cybersecurity Team,DAL B
95-00-05-05-005,Blockchain Anchor IF,SECURITY,"REQ-090,REQ-091",DES-505,IMPL-605,TEST-707,ACTIVE,DPP Team,DAL D
95-00-05-06-001,DPP Data Model,BLOCKCHAIN,"REQ-095,REQ-096",DES-601,IMPL-701,TEST-801,ACTIVE,DPP Team,DAL D
95-00-05-06-002,Blockchain Write Interface,BLOCKCHAIN,"REQ-097,REQ-098",DES-602,IMPL-702,TEST-802,ACTIVE,DPP Team,DAL D
95-00-05-06-003,Blockchain Query Interface,BLOCKCHAIN,"REQ-099,REQ-100",DES-603,IMPL-703,TEST-803,ACTIVE,DPP Team,DAL D
95-00-05-06-004,Smart Contract ABI,BLOCKCHAIN,"REQ-101,REQ-102",DES-604,IMPL-704,"TEST-804,TEST-805",ACTIVE,DPP Team,DAL D
95-00-05-06-005,Supply Chain IF,BLOCKCHAIN,"REQ-103,REQ-104",DES-605,IMPL-705,TEST-806,ACTIVE,DPP Team,DAL E
