Signal_ID,Name,Type,Range_Min,Range_Max,Units,Source,Destination,Rate_Hz,DAL,Description
ANCH_TH_T_LT_SUP,LT Bus Supply Temp,T,20,70,°C,RTD,THC,10,C,Low-temp thermal bus supply temperature
ANCH_TH_T_LT_RET,LT Bus Return Temp,T,20,70,°C,RTD,THC,10,C,Low-temp thermal bus return temperature
ANCH_TH_F_HT,HT Bus Flow Rate,F,0,200,L/min,US,THC,1,C,High-temp thermal bus flow rate
ANCH_TH_F_LT,LT Bus Flow Rate,F,0,250,L/min,US,THC,1,C,Low-temp thermal bus flow rate
ANCH_TH_P_HT,HT Bus Pressure,P,0,5,bar,PT,THC,1,C,High-temp thermal bus pressure
ANCH_TH_P_LT,LT Bus Pressure,P,0,4,bar,PT,THC,1,C,Low-temp thermal bus pressure
ANCH_TH_D_HT_PUMP,HT Pump Running,D,0,1,bool,THC,HMI,1,C,HT bus pump running status
ANCH_TH_D_LT_PUMP,LT Pump Running,D,0,1,bool,THC,HMI,1,C,LT bus pump running status
ANCH_EMS_W_TOTAL,Total Power Consumption,W,0,200,kW,Calc,HMI,1,C,Total ANCHORS power consumption
ANCH_EMS_W_REGEN,Regeneration Power,W,0,800,kW,Motor,EMS,10,C,Power being regenerated from motors
ANCH_EMS_X_MODE,System Operating Mode,X,0,15,enum,MM,All,10,C,Current system operating mode
ANCH_EMS_W_AVAILABLE,Available Power,W,0,500,kW,EMS,MM,1,C,Power available for ANCHORS
ANCH_EMS_D_LOAD_SHED,Load Shedding Active,D,0,1,bool,EMS,HMI,1,B,Load shedding mode active
ANCH_SS_D_ISO_CMD,Safety Isolation Cmd,D,0,1,bool,SS,All,100,B,Safety supervisor isolation command
ANCH_SS_X_STATUS,Safety Supervisor Status,X,0,7,enum,SS,HMI,10,B,Safety supervisor system status
ANCH_SS_D_WD_OK,Watchdog OK,D,0,1,bool,SS,All,10,B,Safety watchdog healthy status
ANCH_SS_D_INTERLOCK,Interlock Status,D,0,1,bool,SS,HMI,10,B,Safety interlock engaged status
ANCH_SS_W_FAULT_CODE,Active Fault Code,W,0,65535,code,SS,HMI,1,B,Currently active fault code
ANCH_MM_X_STATE,Mode Manager State,X,0,15,enum,MM,All,10,C,Current mode manager state
ANCH_MM_D_INIT_OK,Initialization Complete,D,0,1,bool,MM,SS,1,C,System initialization complete flag
ANCH_MM_D_AUTO_MODE,Automatic Mode Active,D,0,1,bool,MM,HMI,1,C,Automatic control mode active
ANCH_NN_D_ACTIVE,Neural Network Active,D,0,1,bool,NN,MM,1,C,Neural network inference active
ANCH_NN_V_CONFIDENCE,NN Confidence Level,V,0,1,ratio,NN,MM,1,C,Neural network output confidence
ANCH_NN_D_FALLBACK,NN Fallback Mode,D,0,1,bool,NN,SS,1,B,Neural network in fallback mode
