CS25_Reference,Title,Applicability,Compliance_Method,Status,Evidence_Document,Special_Condition,Notes
CS-25.811,Emergency Exit Marking,Applicable,Design,Planned,Design Review,None,Exit signs
CS-25.812,Emergency Lighting,Applicable,Design + Test,Planned,Lighting Test,SC-BWB-001,Distributed exits
CS-25.813,Emergency Exit Access,Applicable,Design,Planned,Design Review,SC-BWB-001,Wide cabin
CS-25.815,Width of Aisle,Applicable,Design,In Progress,Design Review,SC-BWB-001,Cabin layout
CS-25.820,Lavatory Doors,Applicable,Design,Planned,Design Review,None,Door design
CS-25.831,Ventilation,Applicable,Design + Test,Planned,ECS Testing,SC-BWB-001,Wide cabin ECS
CS-25.832,Cabin Ozone Concentration,Applicable,Design,Planned,Design Review,None,Ozone converter
CS-25.841,Pressurized Cabins,Applicable,Design + Test,Planned,Pressure Test,SC-BWB-001,Non-cylindrical
CS-25.843,Proof Tests,Applicable,Test,Planned,Pressure Test,SC-BWB-001,1.33x max pressure
CS-25.851,Fire Extinguishers,Applicable,Design,Planned,Design Review,None,Extinguisher quantity
CS-25.853,Compartment Interiors,Applicable,Test,Planned,Burn Test,None,Flammability
CS-25.855,Cargo Compartments,Applicable,Design + Test,Planned,Fire Test,None,Fire protection
CS-25.863,Flammable Fluid Fire Protection,Applicable,Design,Planned,Design Review,SC-H2-001,H2 fuel protection
CS-25.865,Fire Protection of Flight Controls,Applicable,Design,Planned,Design Review,None,Redundant controls
CS-25.867,Fire Protection: Engines,Applicable,Design,Planned,Design Review,None,Fuel cell compartments
CS-25.869,Fire Protection: Systems,Applicable,Design,Planned,Design Review,None,Fire detection/suppression
CS-25.871,Leveling Means,Applicable,Design,In Progress,Design Review,None,Aircraft leveling
CS-25.899,Electrical System: General,Applicable,Design + Test,In Progress,System Design,None,Fuel cell electrical
CS-25.901,Installation - Powerplants,Applicable,Design + Test,In Progress,System Design,SC-H2-001,Fuel cell installation
CS-25.903,Engines,Applicable,Test,Planned,Fuel Cell Test,SC-H2-001,PEM fuel cells
CS-25.904,Automatic Takeoff Thrust Control,Not Applicable,N/A,N/A,N/A,None,Manual throttle control
CS-25.905,Propellers - General,Applicable,Design + Test,In Progress,Propulsion Design,None,Electric ducted fans
CS-25.925,Propeller Clearance,Applicable,Design,In Progress,CERT-02-10-002,None,Nacelle clearance
CS-25.929,Propeller Characteristics,Applicable,Test,Planned,Propulsion Test,None,Fan performance
CS-25.933,Reversing Systems,Not Applicable,N/A,N/A,N/A,None,No thrust reverser
CS-25.939,Turbine Engine Operating Characteristics,Not Applicable,N/A,N/A,N/A,None,Fuel cell propulsion
CS-25.943,Negative Acceleration,Applicable,Design,Planned,Design Review,SC-H2-001,H2 fuel flow
CS-25.951,Fuel System - General,Applicable,Design + Test,In Progress,Fuel System Design,SC-H2-001,H2 cryogenic system
CS-25.952,Fuel System Analysis,Applicable,Analysis,In Progress,Fuel System Analysis,SC-H2-001,FMEA
CS-25.953,Fuel System Independence,Applicable,Design,In Progress,System Design,SC-H2-001,H2 tank separation
CS-25.954,Fuel System Lightning Protection,Applicable,Design + Test,Planned,Lightning Test,SC-H2-001,H2 tank protection
CS-25.955,Fuel Flow,Applicable,Design + Test,In Progress,Fuel System Test,SC-H2-001,H2 flow rate
CS-25.957,Flow Between Interconnected Tanks,Applicable,Design,In Progress,System Design,SC-H2-001,Tank interconnection
CS-25.959,Unusable Fuel Supply,Applicable,Test,Planned,Fuel System Test,SC-H2-001,3.3% unusable
CS-25.961,Fuel System Hot Weather Operation,Applicable,Analysis,Planned,Thermal Analysis,SC-H2-001,Cryogenic management
CS-25.963,Fuel Tanks - General,Applicable,Design + Test,In Progress,Tank Design,SC-H2-001,Cryogenic tanks
CS-25.965,Fuel Tank Tests,Applicable,Test,Planned,Tank Test,SC-H2-001,Pressure/leak tests
CS-25.967,Fuel Tank Installation,Applicable,Design,In Progress,Design Review,SC-H2-001,Tank mounting
CS-25.969,Fuel Tank Expansion Space,Applicable,Design,In Progress,Tank Design,SC-H2-001,Vapor space
CS-25.971,Fuel Tank Sump,Applicable,Design,In Progress,Tank Design,SC-H2-001,Drain provisions
CS-25.973,Fuel Tank Filler Connection,Applicable,Design,In Progress,Refueling Design,SC-H2-001,Cryogenic refueling
CS-25.975,Fuel Tank Vents,Applicable,Design,In Progress,System Design,SC-H2-001,H2 venting
CS-25.977,Fuel Tank Outlet,Applicable,Design,In Progress,Tank Design,SC-H2-001,Feed system
CS-25.979,Pressure Fueling System,Applicable,Design,In Progress,Refueling Design,SC-H2-001,Cryogenic transfer
CS-25.981,Fuel Tank Ignition Prevention,Applicable,Design,Planned,Design Review,SC-H2-001,Inert H2 tanks
CS-25.991,Fuel Pumps,Applicable,Design + Test,In Progress,Pump Design,SC-H2-001,Cryogenic pumps
CS-25.993,Fuel System Lines and Fittings,Applicable,Design + Test,In Progress,Fuel Lines Design,SC-H2-001,Cryogenic lines
CS-25.994,Fuel System Components,Applicable,Test,Planned,Component Test,SC-H2-001,Cryogenic valves
CS-25.995,Fuel Valves,Applicable,Design + Test,In Progress,Valve Design,SC-H2-001,Isolation valves
CS-25.997,Fuel Strainer or Filter,Applicable,Design,In Progress,System Design,SC-H2-001,Particulate filtering
CS-25.999,Fuel System Drains,Applicable,Design,In Progress,System Design,SC-H2-001,Drain procedures
CS-25.1001,Fuel Jettisoning System,Not Applicable,N/A,N/A,N/A,SC-H2-001,H2 cannot be dumped
CS-25.1011,General - Powerplant Controls,Applicable,Design,In Progress,Control Design,None,Power management
CS-25.1013,Fuel System - General,Applicable,Design,In Progress,CERT-02-10-201,SC-H2-001,Reserves included
CS-25.1014,Fuel System: Gravity Feed,Not Applicable,N/A,N/A,N/A,SC-H2-001,Pumped system
CS-25.1015,Fuel System: Single Engine,Not Applicable,N/A,N/A,N/A,None,4 fuel cells
CS-25.1016,Fuel System: Multi-Engine,Applicable,Design,In Progress,System Design,SC-H2-001,4-cell configuration
CS-25.1019,Oil Strainer or Filter,Not Applicable,N/A,N/A,N/A,None,No oil system (fuel cells)
CS-25.1041,General - Powerplant Cooling,Applicable,Analysis + Test,In Progress,Cooling Design,SC-H2-001,Fuel cell cooling
CS-25.1043,Cooling Tests,Applicable,Test,Planned,Thermal Test,SC-H2-001,Hot day operation
CS-25.1091,Air Induction,Applicable,Design,In Progress,Air System Design,None,Fuel cell air intake
CS-25.1093,Induction System Icing,Applicable,Design + Test,Planned,Icing Test,None,Air intake icing
CS-25.1101,Powerplant Installation,Applicable,Design,In Progress,Installation Design,SC-H2-001,Fuel cell nacelles
CS-25.1103,Induction System Ducts,Applicable,Design,In Progress,Duct Design,None,Air ducting
CS-25.1105,Exhaust System,Applicable,Design,In Progress,Exhaust Design,SC-H2-001,Water vapor exhaust
CS-25.1121,General - Powerplant Instruments,Applicable,Design,In Progress,Instrumentation,SC-H2-001,Fuel cell monitoring
CS-25.1123,Exhaust Gas Temperature,Not Applicable,N/A,N/A,N/A,SC-H2-001,No exhaust gas temperature
CS-25.1141,Powerplant Controls - General,Applicable,Design,In Progress,Control Design,SC-H2-001,Fuel cell controls
CS-25.1142,Auxiliary Power Unit Controls,Not Applicable,N/A,N/A,N/A,None,No APU (fuel cells provide ground power)
CS-25.1143,Engine Controls,Applicable,Design + Test,In Progress,Control Design,SC-H2-001,Power management
CS-25.1145,Ignition Switches,Not Applicable,N/A,N/A,N/A,SC-H2-001,Fuel cell activation
CS-25.1149,Propeller Speed and Pitch Controls,Applicable,Design,In Progress,Control Design,None,Electric motor control
CS-25.1153,Propeller Feathering,Not Applicable,N/A,N/A,N/A,None,Fixed pitch fans
CS-25.1157,Carburetor Air Temperature Controls,Not Applicable,N/A,N/A,N/A,None,No carburetor
CS-25.1163,Powerplant Accessories,Applicable,Design,In Progress,Accessory Design,SC-H2-001,Fuel cell auxiliaries
CS-25.1165,Engine Ignition Systems,Not Applicable,N/A,N/A,N/A,SC-H2-001,Electrochemical (no ignition)
CS-25.1181,Designated Fire Zones,Applicable,Design,In Progress,Fire Zone Design,SC-H2-001,H2 compartments
CS-25.1183,Lines/Fittings/Components in Fire Zones,Applicable,Design,In Progress,Fire Zone Design,SC-H2-001,H2 fuel lines
CS-25.1185,Flammable Fluids,Applicable,Design,In Progress,Fluid System Design,SC-H2-001,H2 fuel management
CS-25.1187,Drainage and Ventilation,Applicable,Design,In Progress,Ventilation Design,SC-H2-001,H2 leak ventilation
CS-25.1189,Shutoff Means,Applicable,Design,In Progress,System Design,SC-H2-001,Fuel isolation
CS-25.1191,Firewalls,Applicable,Design,In Progress,Firewall Design,SC-H2-001,Compartment isolation
CS-25.1192,Engine Accessory Section Diaphragm,Not Applicable,N/A,N/A,N/A,SC-H2-001,No engine accessories
CS-25.1193,Cowling and Engine Compartment,Applicable,Design,In Progress,Cowling Design,SC-H2-001,Fuel cell nacelles
CS-25.1195,Fire Extinguishing Systems,Applicable,Design + Test,Planned,Fire System Test,SC-H2-001,H2 fire suppression
CS-25.1197,Fire Extinguishing Agents,Applicable,Design,Planned,Design Review,SC-H2-001,Agent selection
CS-25.1199,Extinguishing Agent Containers,Applicable,Design,Planned,Design Review,None,Container installation
CS-25.1201,Fire Detection System,Applicable,Design + Test,In Progress,Detection System,SC-H2-001,H2 leak detection
CS-25.1203,Fire Detector System,Applicable,Test,Planned,Detector Test,SC-H2-001,Detection adequacy
CS-25.1301,Function and Installation,Applicable,Design + Test,In Progress,System Design,SC-BWB-001,CAOS integration
CS-25.1303,Flight and Navigation Instruments,Applicable,Design,In Progress,Avionics Design,None,Display systems
CS-25.1305,Powerplant Instruments,Applicable,Design,In Progress,Instrumentation,SC-H2-001,Fuel cell monitoring
CS-25.1307,Miscellaneous Equipment,Applicable,Design,In Progress,Equipment Design,None,Various systems
CS-25.1309,Equipment/Systems/Installations,Applicable,Analysis,In Progress,System Safety,SC-BWB-001,BWB systems
CS-25.1310,Power Source Capacity,Applicable,Analysis,In Progress,Power Analysis,None,Fuel cell capacity
CS-25.1316,System Lightning Protection,Applicable,Design + Test,Planned,Lightning Test,SC-BWB-001,Composite protection
CS-25.1322,Flight Data Recorder,Applicable,Design,Planned,FDR Installation,None,25-hour capacity
CS-25.1323,Cockpit Voice Recorder,Applicable,Design,Planned,CVR Installation,None,2-hour capacity
CS-25.1329,Flight Guidance System,Applicable,Design + Test,In Progress,Autopilot Design,SC-BWB-001,BWB autopilot
CS-25.1331,Instruments Using Power Supply,Applicable,Design,In Progress,Instrument Design,None,Redundant power
CS-25.1333,Instrument Systems,Applicable,Design + Test,In Progress,Display Systems,None,EFIS
CS-25.1337,Powerplant Instruments,Applicable,Design,In Progress,Instrumentation,SC-H2-001,Fuel cell displays
CS-25.1351,General - Electrical Systems,Applicable,Design + Test,In Progress,Electrical Design,None,Fuel cell electrical
CS-25.1353,Electrical Equipment and Installations,Applicable,Design,In Progress,Electrical Design,None,System installation
CS-25.1355,Distribution System,Applicable,Design + Test,In Progress,Power Distribution,None,Bus architecture
CS-25.1357,Circuit Protective Devices,Applicable,Design,In Progress,Protection Design,None,Circuit breakers
CS-25.1360,Precautions Against Injury,Applicable,Design,In Progress,Design Review,None,High voltage protection
CS-25.1362,Electrical Supplies for Standby Systems,Applicable,Design,In Progress,Backup Power,None,Battery backup
CS-25.1363,Electrical System Tests,Applicable,Test,Planned,System Test,None,Ground and flight testing
CS-25.1365,Electrical Cables and Equipment,Applicable,Design,In Progress,Cable Design,None,Wire installation
CS-25.1381,Instrument Lights,Applicable,Design,Planned,Lighting Design,None,Cockpit lighting
CS-25.1383,Landing Lights,Applicable,Design,Planned,Lighting Design,None,LED landing lights
CS-25.1385,Position Light System,Applicable,Design,Planned,Lighting Design,None,Navigation lights
CS-25.1387,Position Light System Installation,Applicable,Design,Planned,Lighting Installation,None,Light mounting
CS-25.1389,Position Light Distribution,Applicable,Test,Planned,Light Test,None,Coverage angles
CS-25.1391,Minimum Intensities,Applicable,Test,Planned,Light Test,None,Intensity measurement
CS-25.1393,Flashing Lights,Applicable,Design,Planned,Lighting Design,None,Anti-collision lights
CS-25.1395,Riding Light,Applicable,Design,Planned,Lighting Design,None,For water operations
CS-25.1397,Color Specifications,Applicable,Design,Planned,Design Review,None,Light colors
CS-25.1401,Anti-Collision Light System,Applicable,Design,Planned,Lighting Design,None,Strobe lights
CS-25.1411,General - Safety Equipment,Applicable,Design,Planned,Equipment Design,SC-BWB-001,Wide cabin
CS-25.1415,Ditching Equipment,Applicable,Design,Planned,Equipment Design,SC-BWB-001,BWB ditching
CS-25.1419,Ice Protection,Applicable,Design + Test,Planned,Ice Protection Test,SC-BWB-001,BWB leading edges
CS-25.1420,Supercooled Large Drop Icing,Applicable,Analysis + Test,Planned,Icing Test,None,Appendix O compliance
CS-25.1435,Hydraulic Systems,Applicable,Design + Test,In Progress,Hydraulic Design,None,Backup hydraulics
CS-25.1438,Pressurization/Pneumatic Systems,Applicable,Design + Test,In Progress,Pneumatic Design,None,Air systems
CS-25.1459,Flight Data Recorders,Applicable,Design,Planned,FDR Design,None,Parameter recording
CS-25.1461,Equipment Crash Resistance,Applicable,Design + Test,Planned,Crash Test,None,Recorder protection
CS-25.1501,General - Operating Limitations,Applicable,Documentation,In Progress,AFM,None,Limitations section
CS-25.1503,Airspeed Limitations,Applicable,Analysis + Flight Test,In Progress,CERT-02-10-202,None,VMO/MMO
CS-25.1505,Maximum Operating Limit Speed,Applicable,Flight Test,In Progress,CERT-02-10-202,None,VMO/MMO determination
CS-25.1507,Maneuvering Speed,Applicable,Analysis,Planned,Performance Data,None,VA determination
CS-25.1511,Flap Extended Speed,Applicable,Flight Test,Planned,Performance Data,None,VFE determination
CS-25.1513,Minimum Control Speed,Applicable,Flight Test,Planned,Flight Test Report,None,VMC determination
CS-25.1515,Landing Gear Speeds,Applicable,Analysis,In Progress,CERT-02-10-202,None,VLE/VLO
CS-25.1516,Other Speed Limitations,Applicable,Analysis,Planned,Performance Data,None,Special speeds
CS-25.1517,Rough Air Speed,Applicable,Analysis,Planned,Performance Data,None,VRA determination
CS-25.1519,Weight/CG/Weight Distribution,Applicable,Analysis,In Progress,CERT-02-10-101/103,SC-BWB-002,Wide CG range
CS-25.1521,Powerplant Limitations,Applicable,Documentation,In Progress,AFM,SC-H2-001,Fuel cell limits
CS-25.1522,Auxiliary Power Unit Limitations,Not Applicable,N/A,N/A,N/A,None,No APU
CS-25.1523,Minimum Flight Crew,Applicable,Analysis,Planned,AFM,None,2 pilots
CS-25.1525,Kinds of Operation,Applicable,Documentation,Planned,AFM,None,Day/night/IFR
CS-25.1527,Ambient Air Temperature,Applicable,Documentation,Planned,AFM,SC-H2-001,H2 temp limits
CS-25.1529,Instructions for Continued Airworthiness,Applicable,Documentation,Planned,Maintenance Manual,SC-BWB-001,BWB specific
CS-25.1531,Maneuvering Flight Load Factors,Applicable,Documentation,In Progress,AFM,None,Load factor limits
CS-25.1533,Additional Operating Limitations,Applicable,Documentation,Planned,AFM,SC-BWB-001/H2-001,Special limitations
CS-25.1541,General - Markings and Placards,Applicable,Design,Planned,Design Review,None,Required markings
CS-25.1543,Instrument Markings - General,Applicable,Design,Planned,Instrument Design,None,Speed bugs etc.
CS-25.1545,Airspeed Indicator,Applicable,Design,Planned,Display Design,None,Speed tape markings
CS-25.1549,Powerplant Instruments,Applicable,Design,Planned,Instrumentation,SC-H2-001,Fuel cell displays
CS-25.1551,Oil Quantity Indication,Not Applicable,N/A,N/A,N/A,None,No oil system
CS-25.1553,Fuel Quantity Indicator,Applicable,Design + Test,In Progress,Fuel Gauging,SC-H2-001,H2 quantity
CS-25.1555,Control Markings,Applicable,Design,Planned,Design Review,None,Control labels
CS-25.1557,Miscellaneous Markings,Applicable,Design,Planned,Design Review,SC-BWB-001,BWB specific
CS-25.1561,Safety Equipment,Applicable,Design,Planned,Equipment Design,SC-BWB-001,Equipment location
CS-25.1563,Airspeed Placard,Applicable,Documentation,Planned,AFM,None,Speed placard
CS-25.1581,General - Manuals,Applicable,Documentation,In Progress,AFM Development,SC-BWB-001,BWB specific content
CS-25.1583,Operating Limitations,Applicable,Documentation,In Progress,AFM,SC-BWB-001/H2-001,Special limitations
CS-25.1585,Operating Procedures,Applicable,Documentation,Planned,AFM,SC-BWB-001/H2-001,BWB/H2 procedures
CS-25.1587,Performance Information,Applicable,Documentation,In Progress,AFM,CERT-02-10-201/202,Performance data
CS-25.1589,Loading Information,Applicable,Documentation,In Progress,AFM,CERT-02-10-103,CG envelope
CS-25.1591,Performance Operating Procedures,Applicable,Documentation,Planned,AFM,None,Operational procedures
Appendix F,Part 25 Large Airplanes,Applicable,Analysis + Test,Planned,Performance Data,None,Icing certification
Appendix J,Part 25 Emergency Locator Transmitter,Applicable,Equipment,Planned,ELT Installation,None,406 MHz ELT
Appendix K,Part 25 EWIS,Applicable,Design,In Progress,Wiring Design,SC-BWB-001,BWB wire routing
Appendix O,Part 25 Supercooled Large Drop,Applicable,Analysis + Test,Planned,Icing Test,None,Appendix O compliance
