Spec_ID,System_Name,Parameter,Specification_Value,Unit,Min_Value,Max_Value,Nominal_Value,Tolerance,Test_Method,Compliance_Standard,Criticality,Verification_Status,Notes
PS-85-023,Ground Power Unit,Output Voltage,115/230,V AC,108-122/216-244,N/A,115/230,±6%,Voltage measurement,MIL-STD-704F,Critical,TBD,400 Hz aircraft power
PS-85-024,Ground Power Unit,Frequency,400,Hz,393,407,400,±1.75%,Frequency meter,MIL-STD-704F,Critical,TBD,Aircraft 400 Hz standard
PS-85-025,Ground Power Unit,Connection Time,<60,seconds,30,60,45,N/A,Operator trial,N/A,Important,TBD,Rapid aircraft connection
PS-85-026,Emergency Generator,Rated Power,1000,kVA,900,1100,1000,±10%,Load bank test,NFPA 110,Critical,TBD,Level 1 emergency power
PS-85-027,Emergency Generator,Start Time,<10,seconds,0,10,7,N/A,Auto-start test,NFPA 110,Critical,TBD,Automatic transfer switch
PS-85-028,Emergency Generator,Run Time @ Full Load,24,hours,24,Unlimited,48,N/A,Endurance test,NFPA 110,Critical,TBD,Fuel tank sized for 48h
PS-85-029,Fire Suppression System,Foam Capacity,10000,liters,N/A,N/A,10000,N/A,Tank volume check,NFPA 409,Critical,TBD,H2 facility protection
PS-85-030,Fire Suppression System,Response Time,<30,seconds,0,30,15,N/A,System activation test,NFPA 409,Critical,TBD,Automatic activation
PS-85-031,Fire Suppression System,Coverage Area,100,%,100,100,100,N/A,Hydraulic calculation,NFPA 409,Critical,TBD,All H2 zones protected
PS-85-032,Pre-Conditioned Air (PCA),Air Flow Rate,200,kg/min,180,220,200,±10%,Flow measurement,SAE AS 4073,Important,TBD,Aircraft cabin conditioning
PS-85-033,Pre-Conditioned Air (PCA),Temperature Range,15-25,°C,15,25,20,±2°C,Temperature control test,SAE AS 4073,Important,TBD,Passenger comfort
PS-85-034,Pre-Conditioned Air (PCA),Humidity Control,40-60,%RH,40,60,50,±10% RH,Humidity measurement,SAE AS 4073,Important,TBD,Cabin comfort range
PS-85-035,Compressed Air System,Supply Pressure,7,bar,6.5,7.5,7,±0.5 bar,Pressure gauge,ISO 8573,Important,TBD,Instrument air quality
PS-85-036,Compressed Air System,Air Quality Class,2:4:2,ISO 8573,N/A,N/A,2:4:2,N/A,Oil/particle/dew test,ISO 8573-1,Important,TBD,Solid:Water:Oil classification
PS-85-037,Compressed Air System,Flow Capacity,300,m³/h,270,330,300,±10%,Flow test,ISO 1217,Important,TBD,Peak demand coverage
PS-85-038,Potable Water System,Supply Rate,100,L/min,90,120,100,±10%,Flow test,NSF/ANSI 61,Non-Critical,TBD,Aircraft water servicing
PS-85-039,Potable Water System,Water Quality,Potable,N/A,N/A,N/A,Potable,N/A,Lab analysis per NSF 61,NSF/ANSI 61,Critical,TBD,Drinking water standard
PS-85-040,Waste Water System,Vacuum Capacity,150,L/min,135,180,150,±10%,Vacuum test,EPA Standards,Non-Critical,TBD,Lavatory waste removal
PS-85-041,Baggage Handling,Loading Capacity,3000,kg,2700,3500,3000,±10%,Load test,ISO 8097,Important,TBD,Container/pallet handling
PS-85-042,Baggage Handling,Loading Speed,10,containers/hour,8,12,10,±20%,Operational trial,ISO 8097,Non-Critical,TBD,Turnaround efficiency
PS-85-043,SCADA System,Scan Rate,1,second,0.5,2,1,±0.5s,System timing test,IEC 61850,Important,TBD,Real-time monitoring
PS-85-044,SCADA System,Data Retention,5,years,5,Unlimited,10,N/A,Storage verification,N/A,Important,TBD,Historical data archive
PS-85-045,SCADA System,Availability,99.9,%,99.9,100,99.95,N/A,Uptime monitoring,IEC 62443,Critical,TBD,High availability system
PS-85-046,Access Control System,Card Read Time,<1,second,0,1,0.5,N/A,Reader response test,ISO 14443,Important,TBD,Rapid personnel access
PS-85-047,Access Control System,Door Release Time,<2,seconds,0,2,1,N/A,Actuator test,N/A,Important,TBD,Emergency egress requirement
PS-85-048,CCTV System,Camera Resolution,1920x1080,pixels,N/A,N/A,1920x1080,N/A,Video quality test,IEC 62676,Important,TBD,Full HD surveillance
PS-85-049,CCTV System,Recording Retention,90,days,90,365,180,N/A,Storage capacity check,IEC 62676,Important,TBD,Regulatory requirement
PS-85-050,Network Infrastructure,Data Rate,1,Gbps,1000,10000,1000,N/A,Network performance test,IEEE 802.3,Important,TBD,Backbone network speed
