Source_ID,Source_Type,Target_ID,Target_Type,Relationship,Rationale,Status,Last_Verified,Verified_By
95-00-09-02-001,Architecture,95-00-09-02-002,Rules,IMPL,Data sourcing rules implement pipeline architecture,ACTIVE,2025-11-17,Data Engineering
95-00-09-02-002,Rules,95-00-09-02-003,Process,IMPL,ETL process implements sourcing rules,ACTIVE,2025-11-17,Data Engineering
95-00-09-02-003,Process,95-00-09-02-004,Validation,VALD,Data validation validates ETL process,ACTIVE,2025-11-17,Quality Assurance
95-00-09-02-004,Validation,95-00-09-02-005,Lineage,DEPO,Data lineage depends on validation,ACTIVE,2025-11-17,Data Governance
95-00-09-03-001,Architecture,95-00-09-03-002,Process,IMPL,CI/CD process implements MLOps architecture,ACTIVE,2025-11-17,DevOps Lead
95-00-09-03-002,Process,95-00-09-03-003,Specification,IMPL,Packaging specification implements CI/CD process,ACTIVE,2025-11-17,MLOps Engineer
95-00-09-03-003,Specification,95-00-09-03-004,Channels,IMPL,Deployment channels implement packaging spec,ACTIVE,2025-11-17,Deployment Manager
95-00-09-03-004,Channels,95-00-09-03-005,Strategy,IMPL,Rollout strategy implements deployment channels,ACTIVE,2025-11-17,Release Manager
95-00-09-04-001,Strategy,95-00-09-04-002,Qualification,IMPL,Target qualification implements SW/HW strategy,ACTIVE,2025-11-17,Hardware Engineer
95-00-09-04-002,Qualification,95-00-09-04-003,Targets,VALD,Edge targets validated through qualification,ACTIVE,2025-11-17,Test Engineer
95-00-09-04-003,Targets,95-00-09-04-004,Cycles,REFS,Release cycles reference target specifications,ACTIVE,2025-11-17,Release Manager
95-00-09-04-004,Cycles,95-00-09-04-005,Integration,IMPL,Integration implements release cycles,ACTIVE,2025-11-17,Integration Engineer
95-00-09-05-001,Definition,95-00-09-05-002,Rules,IMPL,Sourcing rules implement supply chain definition,ACTIVE,2025-11-17,Supply Chain Manager
95-00-09-05-002,Rules,95-00-09-05-003,Provenance,IMPL,Provenance tracking implements sourcing rules,ACTIVE,2025-11-17,Compliance Officer
95-00-09-05-003,Provenance,95-00-09-05-004,Licensing,REFS,Third-party modules reference provenance,ACTIVE,2025-11-17,Legal Compliance
95-00-09-05-004,Licensing,95-00-09-05-005,Qualification,IMPL,Supplier qualification implements licensing requirements,ACTIVE,2025-11-17,Procurement
95-00-09-06-001,Strategy,95-00-09-06-002,Documentation,IMPL,On-chain documentation implements DPP strategy,ACTIVE,2025-11-17,DPP Lead
95-00-09-06-002,Documentation,95-00-09-06-003,Deployment,IMPL,Smart contract deployment implements on-chain docs,ACTIVE,2025-11-17,Blockchain Engineer
95-00-09-06-003,Deployment,95-00-09-06-004,Traceability,DRVF,Traceability links derive from smart contracts,ACTIVE,2025-11-17,Traceability Manager
95-00-09-06-004,Traceability,95-00-09-06-005,Audit,VALD,Blockchain audit validates traceability,ACTIVE,2025-11-17,Audit Lead
95-00-09-07-001,Strategy,95-00-09-07-002,VV Process,IMPL,Pre-release V&V implements production V&V strategy,ACTIVE,2025-11-17,V&V Manager
95-00-09-07-002,VV Process,95-00-09-07-003,VV Process,REFS,Post-deployment V&V references pre-release V&V,ACTIVE,2025-11-17,V&V Manager
95-00-09-07-003,VV Process,95-00-09-07-004,Validation,IMPL,On-aircraft validation implements post-deployment V&V,ACTIVE,2025-11-17,Flight Test Engineer
95-00-09-07-004,Validation,95-00-09-07-005,Interface,REFS,Certification interface references validation results,ACTIVE,2025-11-17,Certification Engineer
95-00-09-08-001,Strategy,95-00-09-08-002,Architecture,IMPL,Health monitoring architecture implements monitoring strategy,ACTIVE,2025-11-17,Monitoring Lead
95-00-09-08-002,Architecture,95-00-09-08-003,Monitoring,IMPL,Performance monitoring implements health architecture,ACTIVE,2025-11-17,Performance Engineer
95-00-09-08-003,Monitoring,95-00-09-08-004,Workflows,DEPO,Maintenance workflows depend on performance monitoring,ACTIVE,2025-11-17,Maintenance Manager
95-00-09-08-004,Workflows,95-00-09-08-005,Response,IMPL,Incident response implements maintenance workflows,ACTIVE,2025-11-17,Incident Manager
95-00-09-09-001,Strategy,95-00-09-09-002,Support,IMPL,Flight operations support implements EIS strategy,ACTIVE,2025-11-17,Operations Manager
95-00-09-09-002,Support,95-00-09-09-003,Risk,REFS,EIS risk analysis references operations support,ACTIVE,2025-11-17,Risk Manager
95-00-09-09-003,Risk,95-00-09-09-004,Training,IMPL,Airline training implements risk mitigation,ACTIVE,2025-11-17,Training Manager
95-00-09-09-004,Training,95-00-09-09-005,Tracking,VALD,Performance tracking validates training effectiveness,ACTIVE,2025-11-17,Quality Assurance
95-00-09-10-001,Standard,95-00-09-10-002,Structure,IMPL,Release notes structure implements documentation standard,ACTIVE,2025-11-17,Documentation Lead
95-00-09-10-002,Structure,95-00-09-10-003,Dossier,IMPL,DPP dossier implements release notes structure,ACTIVE,2025-11-17,DPP Coordinator
95-00-09-10-003,Dossier,95-00-09-10-004,Documentation,IMPL,Customer docs implement DPP dossier requirements,ACTIVE,2025-11-17,Technical Writer
95-00-09-10-004,Documentation,95-00-09-10-005,Material,IMPL,Training material implements customer documentation,ACTIVE,2025-11-17,Training Developer
95-00-09-11-001,Strategy,95-00-09-11-002,Packaging,IMPL,Evidence packaging implements certification strategy,ACTIVE,2025-11-17,Certification Manager
95-00-09-11-002,Packaging,95-00-09-11-003,Audit,IMPL,Audit checks implement evidence packaging,ACTIVE,2025-11-17,Quality Auditor
95-00-09-11-003,Audit,95-00-09-11-004,Interface,REFS,Regulatory interface references audit results,ACTIVE,2025-11-17,Regulatory Affairs
95-00-09-11-004,Interface,95-00-09-11-005,Archival,IMPL,Archival implements regulatory requirements,ACTIVE,2025-11-17,Records Manager
95-00-09-00-001,Strategy,95-00-10-00-001,Certification,DEPO,Certification depends on production strategy completion,ACTIVE,2025-11-17,Program Manager
95-00-09-11-005,Archival,95-00-11-00-001,EIS Plan,DEPO,EIS plan depends on archival completion,ACTIVE,2025-11-17,Program Manager
