AI_ID,Name,ATA_Chapter,Domain,Location,Primary_Function,End_User,AI_Tech,Safety_Component,Hazard_Contribution,AI_Level_DS.AI,DS.AI_Scope,AL_TQL,OD,ODD,Repo_Anchor,Status,Owner
NN-WING,Neural Networks Wing Systems,95-20-57,AIRBORNE,On-board,Wing load optimization and flutter prediction,Flight control systems / structural monitoring,Supervised,YES,H2 (structural safety),2A or 2B,IN,AL2-AL3 / TQL2-TQL3,BWB wing loading conditions across flight envelope,Wing sensor arrays pressure distributions within design space,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-57_NN_Wing_Systems,Concept,Aerodynamics & Wing Systems Domain
NN-PROP,Neural Networks Propulsion,95-20-70,AIRBORNE,On-board,Propulsion system optimization and health monitoring,Engine controllers / FADEC,Supervised,YES,H1-H2 (propulsion failure),>=2B,OUT (DS.AI) - catastrophic potential,N/A - treat under DO-178C Level A & dedicated AI safety guidance,Full flight envelope propulsion operations,Engine parameters fuel flow temperatures within certified limits,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-70_NN_Propulsion,Concept,Propulsion Systems Domain
NN-ENERGY,Neural Networks Energy Systems,95-20-80,AIRBORNE,On-board,Electrical power management and battery optimization,Power management systems,Supervised,YES,H2 (power system management),2A or 2B,IN,AL2-AL3 / TQL2-TQL3,Normal electrical power operations including H2 fuel cell integration,Power distribution states battery conditions within design limits,OPT-IN_FRAMEWORK/N-NEURAL_NETWORKS_USERS_TRACEABILITY/ATA_95-DIGITAL_PRODUCT_PASSPORT_NEURAL_NETWORKS/95-20_Subsystems/95-20-80_NN_Energy_Systems,Concept,Electrical Power Systems Domain
OPS-DIGITAL,Digital Operations Platform,02-20-01,GROUND+AIRBORNE,Operations control centre + EFB,Integrated operations management and decision support,Operations controllers / flight crew,Hybrid (multiple AI components),Depends on specific function,H2-H4 (varies by function),Mixed (1B to 2A),Mixed - evaluate per component,Per component,Airline network operations,Per specific AI component within platform,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-01_Digital_Ops_Platform,In design,Digital Operations Domain
OPS-EFB,Electronic Flight Bag with AI assistants,02-20-11,AIRBORNE,On-board cockpit,Enhanced situational awareness and advisory functions,Flight crew,LLM-assist / supervised,Depends on use case,H2-H4 (varies by function),1A-2A,Split per function,AL3-AL5 / TQL3-TQL5,Normal flight operations,Cockpit procedures and flight data within EFB scope,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-11_Electronic_Flight_Bag,Concept,Avionics & Flight Ops Domain
OPS-WB,Weight & Balance Computer with ML,02-20-12,AIRBORNE+GROUND,EFB / ground load planning,Weight and balance calculation with optimization,Load planners / flight crew,Supervised,YES,H1-H2 (CG out of limits),2A,IN if ML-assisted,AL2-AL3 / TQL2-TQL3,Ground loading and in-flight CG management,Aircraft loading configurations within certified limits,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-12_Weight_Balance_Computer,Concept,Flight Ops & Performance Domain
OPS-PERF,Performance Computer with ML takeoff/landing optimization,02-20-13,AIRBORNE+GROUND,On-board EFB / ground performance tools,Runway performance prediction margin estimation rejected takeoff support,Flight crew / dispatch,Supervised,YES,H1-H2 (overrun / abort),2A,OUT if catastrophic else IN,AL2-AL3 / TQL2-TQL3 if treated as safety component,Commercial ops takeoff/landing phases certified runway conditions,Runway parameters aircraft weight environment conditions within training data,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-13_Performance_Computer,Concept,Flight Ops & Performance Domain
OPS-GOPS,Ground Operations Management (Turnaround / GSE / Slot),02-20-14,GROUND,Ramp & OCC,Optimisation of GSE allocation turnaround timeline slot & constraints management,Ramp agents / OCC planners,Supervised + optimisation,YES (indirect - safety via ground conflicts fueling miscoordination),H2-H3 (ground safety delays),2A or 2B,IN,AL3 / TQL3,Turnaround operations at equipped airports,Traffic density GSE availability weather ranges and airport procedures as per training,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-14_Ground_Ops_Management,Prototype,CAOS - Ground Ops Domain
OPS-FP,Flight Planning Integration with AI optimization,02-20-15,GROUND+AIRBORNE,Flight planning systems,Route optimization considering weather fuel and airspace,Flight planners / dispatch,Supervised + optimization,NO (advisory - final approval by human),H3-H4 (efficiency and planning support),1B,IN,AL4-AL5 / TQL4-TQL5,Network flight planning operations,Route networks weather patterns airspace constraints,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-15_Flight_Planning_Integration,Concept,Flight Planning & Dispatch Domain
OPS-DISPATCH,Dispatch System Integration with AI,02-20-16,GROUND,Dispatch centre,Dispatch decision support and regulatory compliance checking,Dispatchers,Supervised / LLM-assist,NO (advisory - dispatcher retains authority),H3-H4 (dispatch quality and compliance),1B,IN,AL4-AL5 / TQL4-TQL5,Commercial dispatch operations,Operational regulations weather MEL/CDL scenarios,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-16_Dispatch_System_Integration,Concept,Dispatch & Regulatory Compliance Domain
OPS-WX,Weather Information System with ML nowcasting,02-20-17,GROUND+AIRBORNE,Weather service providers + EFB,Enhanced weather prediction and hazard detection,Flight crew / dispatch / meteorologists,Supervised,NO (advisory),H3-H4 (weather awareness),1B,IN,AL4-AL5 / TQL4-TQL5,Flight operations weather support,Weather sensor data patterns within service area,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-17_Weather_Information_System,Concept,Weather Services Domain
OPS-ODR,Operational Data Recording with ML analytics,02-20-18,AIRBORNE+GROUND,On-board recorders + ground analytics,Enhanced flight data monitoring and trend analysis,Safety analysts / fleet managers,Supervised / unsupervised,NO (post-flight analysis),H4-H5 (safety insights),1B,IN,AL5 / TQL5,Fleet operational data analysis,FDM parameters across fleet operations,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-18_Operational_Data_Recording,Concept,Flight Safety & Data Analytics Domain
OPS-CRM,Crew Resource Management with AI,02-20-19,GROUND+AIRBORNE,Training systems + cockpit support,Crew training enhancement and workload management,Flight crew / training departments,Supervised / LLM-assist,NO (training and advisory),H4-H5 (training quality),1A-1B,IN,AL5-AL6 / TQL5-TQL6,Crew training and operational support scenarios,Crew procedures communication patterns training data,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-19_Crew_Resource_Management,Concept,Training & Human Factors Domain
OPS-H2,H2 Operations Management,02-20-21,GROUND+AIRBORNE,H2 fueling infrastructure + on-board monitoring,Hydrogen fuel management scheduling and safety monitoring,Ground H2 operators / flight crew,Supervised,YES,H2-H3 (H2 safety and logistics),2A,IN,AL2-AL3 / TQL2-TQL3,H2 fueling operations at equipped airports,H2 properties pressure/temperature ranges equipment states,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-21_H2_Operations_Management,Concept,Hydrogen Infrastructure Domain
OPS-PAX,Passenger Experience Management with ML,02-20-22,AIRBORNE+GROUND,Cabin systems + ground passenger services,Personalized passenger services and experience optimization,Cabin crew / ground staff / passengers,Supervised / recommendation systems,NO (commercial service),H4-H5 (passenger satisfaction),1B,OUT (business only not safety component),AL6,Passenger journey across ground and flight operations,Passenger preferences service requests within normal operations,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-22_Passenger_Experience_Management,Concept,Passenger Services Domain
OPS-PRED,Predictive Operations NN,02-20-23,GROUND,Operations analytics backend,Network-level predictive analytics for disruptions and performance,Operations planning / network control,Supervised + prediction,NO (strategic planning),H4-H5 (operational efficiency),1B,OUT (business performance not safety component),AL6,Airline network operations planning,Historical operational data network patterns,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_02-OPERATIONS_INFORMATION/02-20_Subsystems/02-20-23_Predictive_Operations_NN,Concept,Network Planning & Analytics Domain
CIRC-CO2,CO2 Capture & Circularity Process Controller,85-30-XX,GROUND,Battery CO2 capture container & materials plant,Control & optimisation of CO2 capture carbon synthesis and material flows,Plant operators / circularity supervisor,Supervised / hybrid,YES (industrial safety but limited aviation hazard),H2-H3 (industrial accidents but not flight safety),2A,IN for plant safety,AL3 / TQL3,Operation of pilot/industrial units as per plant design,Feedstock properties flow rates ambient conditions within trained space,OPT-IN_FRAMEWORK/I-INFRASTRUCTURES/ATA_85-INFRASTRUCTURE_INTERFACE_STANDARDS/85-10_Operations/85-10-03_CO2_Battery_Ground_Operations,Prototype,Circularity & Materials Domain
DOC-META-ENF,doc-meta-enforcer MCP AI Tool,Tools/doc-meta-enforcer,ENTERPRISE,DevOps & documentation pipelines,Automatic document control metadata checking hyperlink generation,Doc owners / engineers,LLM-assist,Tool (not operational),H4-H5 (documentation quality),1A,IN only as AI development/verification tool,TQL5-TQL6 (per DS.AI Table 4),Documentation workflows in GitHub CI/CD,Repo structure and metadata patterns for AMPEL360,tools/doc-meta-enforcer-mcp,Prototype,Documentation & DevTools Domain
GEOM-WATCH,Geometry & Mass Watchdog (if AI-enhanced),Tools/ci,ENTERPRISE,CI in design toolchain,Anomaly detection in geometry/mass reports,Design engineers,Supervised / rule-based,Tool,NO direct possibly YES if used for certification evidence,H4-H5 (design quality assurance),1A,IN as AI tool if ML-based,TQL5-TQL6,Git-driven geometry & mass analysis cycles,Report formats and design parameter ranges in training,tools/ci,Prototype,Configuration & Loads Domain
GEN-CCC,GenCCC Cross-Reference Intelligence,Tools/ci + genccc,ENTERPRISE,Doc/code review workflows,AI cross-reference between requirements design and evidence,Design & certification engineers,LLM-assist,Tool,H4-H5 (certification quality),1A,IN as AI tool,TQL5-TQL6,Code + docs PR review cycles,Repository graphs and doc structures in context,tools/ci/genccc,Concept,Certification & Quality Domain
CAOS-CHAT,CAOS ChatQuantum AI Assistants,CAOS,ENTERPRISE+GROUND,Cockpit/ops assist (if any),Conversational assistance knowledge retrieval what-if reasoning,Flight crew / ops staff / engineers,LLM-assist,Depends on use - advisory only vs action,From H2 (if in cockpit safety path) to H4-H5 (back-office),1A or 1B,Split: OUT for pure knowledge tools IN if used as safety component,From AL2-AL3 (if safety) to AL6,Cockpit/ops knowledge support scenarios,Context window content & knowledge base bounds,CAOS,Concept,CAOS Governance Board
