Document_ID,File_Path,Figure_ID,Figure_Title,Figure_FileName,Status,Description
02-11-00-CLR-001,ANALYSIS_REPORTS/CLEARANCE/Ground_Clearance_Calculations.md,FIG-02,Clearance vs Attitude,02-11-00-CLR-001-FIG-02_Clearance_Attitude.png,To Create,"Plot of ground clearance (m) vs pitch attitude (degrees) for belly, wingtip, and tail. Show minimum required clearances and margins."
02-11-00-CLR-002,ANALYSIS_REPORTS/CLEARANCE/Kinematic_Analysis.md,FIG-01,Gear Retraction Sequence,02-11-00-CLR-002-FIG-01_Gear_Retraction.png,To Create,"Multi-frame sequence showing landing gear retraction kinematics: doors open → gear retracts → gear stowed → doors close. Label timestamps."
02-11-00-CLR-002,ANALYSIS_REPORTS/CLEARANCE/Kinematic_Analysis.md,FIG-02,Taxi Turning Radius,02-11-00-CLR-002-FIG-02_Turning_Radius.png,To Create,"Top view showing aircraft turning paths with nose wheel steering at ±70°. Label minimum turning radius (inside/outside main gear, wingtip)."
02-11-00-CLR-003,ANALYSIS_REPORTS/CLEARANCE/Dynamic_Clearance_Study.md,FIG-01,Landing Impact Timeline,02-11-00-CLR-003-FIG-01_Landing_Impact.png,To Create,"Time-series plot showing vertical CG position, pitch angle, and gear stroke during landing impact (0-2 seconds). Highlight max compression and rebound."
02-11-00-PERF-001,ANALYSIS_REPORTS/PERFORMANCE/Range_Performance.md,FIG-01,Payload-Range Diagram,02-11-00-PERF-001-FIG-01_Payload_Range.png,To Create,"Plot of payload (kg) vs range (km) showing design point (40,000 kg / 8,000 km), max structural payload, and ferry range. Include fuel capacity constraint line."
02-11-00-PERF-001,ANALYSIS_REPORTS/PERFORMANCE/Range_Performance.md,FIG-02,Mission Profile,02-11-00-PERF-001-FIG-02_Mission_Profile.png,To Create,"Altitude vs distance plot showing mission segments: taxi, take-off, climb, cruise, descent, landing. Label fuel burn per segment."
02-11-00-PERF-002,ANALYSIS_REPORTS/PERFORMANCE/Takeoff_Performance.md,FIG-01,Take-Off Distance Breakdown,02-11-00-PERF-002-FIG-01_TO_Distance.png,To Create,"Stacked bar chart showing take-off distance components: ground roll (brake to VR), rotation (VR to VLOF), airborne (VLOF to 35 ft). Total <3,000 m."
02-11-00-PERF-002,ANALYSIS_REPORTS/PERFORMANCE/Takeoff_Performance.md,FIG-02,V-Speeds Diagram,02-11-00-PERF-002-FIG-02_V_Speeds.png,To Create,"Speed tape showing VS, V1, VR, VLOF, V2 with values in KIAS. Include safety margins and regulatory requirements."
02-11-00-PERF-003,ANALYSIS_REPORTS/PERFORMANCE/Landing_Performance.md,FIG-01,Landing Distance Breakdown,02-11-00-PERF-003-FIG-01_LDG_Distance.png,To Create,"Stacked bar chart showing landing distance: air distance (50 ft to touchdown), flare, free roll (3 sec), braking. Total <2,500 m."
02-11-00-PERF-004,ANALYSIS_REPORTS/PERFORMANCE/Climb_Performance.md,FIG-01,Climb Schedule,02-11-00-PERF-004-FIG-01_Climb_Schedule.png,To Create,"Plot of altitude (ft) vs time (min) showing climb from sea level to FL410. Include speed schedule (250 KIAS / 280 KIAS / M0.78) transitions."
02-11-00-PERF-004,ANALYSIS_REPORTS/PERFORMANCE/Climb_Performance.md,FIG-02,Rate of Climb vs Altitude,02-11-00-PERF-004-FIG-02_ROC_Altitude.png,To Create,"Plot of rate of climb (ft/min) vs altitude (ft) for MTOW and MLW. Show service ceiling and OEI climb capability."
02-11-00-CERT-001,ANALYSIS_REPORTS/CERTIFICATION/CS25_Compliance_Matrix.md,FIG-01,Compliance Status Overview,02-11-00-CERT-001-FIG-01_Compliance_Status.png,To Create,"Gantt chart or progress bar showing CS-25 compliance status by subpart (C-Structure, D-Design, F-Equipment, etc.). Color-code: Green=Complete, Yellow=In-Work, Red=Not Started."
02-11-00-CERT-002,ANALYSIS_REPORTS/CERTIFICATION/Structural_Substantiation.md,FIG-01,Substantiation Flowchart,02-11-00-CERT-002-FIG-01_Substantiation_Flow.png,To Create,"Flowchart showing structural substantiation process: Design → Analysis → Test → Compliance Statement. Include decision points and feedback loops."
02-11-00-CERT-003,ANALYSIS_REPORTS/CERTIFICATION/Safety_Analysis.md,FIG-01,Fault Tree Example,02-11-00-CERT-003-FIG-01_FTA_Example.png,To Create,"Fault tree analysis diagram for 'Wing Structural Failure' showing AND/OR gates, basic events (pilot error, manufacturing defect, fatigue crack), and probability calculations."
02-11-00-TS-001,TRADE_STUDIES/Gear_Height_Trade_Study.md,FIG-01,Gear Height Options Comparison,02-11-00-TS-001-FIG-01_Gear_Options.png,To Create,"Side-by-side comparison of 4 gear height options (A: 2.8m, B: 3.0m, C: 3.2m ✓, D: 3.5m) showing belly clearance and tail-down angle."
02-11-00-TS-001,TRADE_STUDIES/Gear_Height_Trade_Study.md,FIG-02,Scoring Spider Chart,02-11-00-TS-001-FIG-02_Gear_Scoring.png,To Create,"Spider/radar chart showing 4 evaluation criteria (Ground Clearance, Weight, Integration, Operational) with scores for each option. Highlight selected option C."
02-11-00-TS-002,TRADE_STUDIES/Wing_Sweep_and_AR_Trade_Study.md,FIG-01,Wing Planform Options,02-11-00-TS-002-FIG-01_Wing_Options.png,To Create,"Top view showing 4 wing planform options with sweep and AR variations. Label wingspan, AR, and predicted L/D for each."
02-11-00-TS-002,TRADE_STUDIES/Wing_Sweep_and_AR_Trade_Study.md,FIG-02,L/D vs AR Trade-Off,02-11-00-TS-002-FIG-02_LD_AR_Tradeoff.png,To Create,"Scatter plot showing L/D vs aspect ratio with wing weight contours. Highlight Pareto frontier and selected design point (AR=3.2, L/D=23.6)."
02-11-00-TS-003,TRADE_STUDIES/Center_Body_Depth_vs_Volume_Trade_Study.md,FIG-01,Center Body Cross-Sections,02-11-00-TS-003-FIG-01_Body_Sections.png,To Create,"Cross-sections of 4 center body depth options (3.8m, 4.0m, 4.2m ✓, 4.5m) showing cabin height, cargo volume, and structural mass."
02-11-00-TS-004,TRADE_STUDIES/H2_Tank_Layout_Trade_Study.md,FIG-01,H2 Tank Layout Options,02-11-00-TS-004-FIG-01_Tank_Layouts.png,To Create,"Plan view showing 3 tank layout options: A) 2 large center body, B) 4 medium distributed ✓, C) 6 small distributed. Label capacity and CG shift."
02-11-00-TS-005,TRADE_STUDIES/High_Lift_Device_Options_Trade.md,FIG-01,High-Lift Device Matrix,02-11-00-TS-005-FIG-01_HL_Matrix.png,To Create,"Matrix showing leading edge (Fixed, Krueger, Slat) vs trailing edge (Plain, Single-slot, Double-slot ✓) combinations with CLmax increments."
TN-001,TECHNICAL_NOTES/Modelling_Assumptions_and_Conventions.md,FIG-01,Sign Conventions,TN-001-FIG-01_Sign_Conventions.png,To Create,"Aircraft diagram showing positive directions for X (forward), Y (right), Z (up) axes and positive rotations (pitch up, roll right, yaw right)."
TN-002,TECHNICAL_NOTES/Coordinate_Systems_and_Reference_Frames.md,FIG-01,Coordinate Systems Overview,TN-002-FIG-01_Coord_Systems.png,To Create,"Multi-panel diagram showing: 1) Body-fixed axes, 2) Wind axes, 3) Stability axes, 4) Earth-fixed NED. Include transformation relationships."
TN-002,TECHNICAL_NOTES/Coordinate_Systems_and_Reference_Frames.md,FIG-02,Reference Stations,TN-002-FIG-02_Ref_Stations.png,To Create,"Side view showing fuselage stations (FS 0.0 nose to FS 52.5 tail), waterlines (WL 0.0 to 4.2), and buttlines (BL 0.0 centerline to ±26 m tip)."
TN-003,TECHNICAL_NOTES/Load_Case_Definition_and_Combinations.md,FIG-01,V-n Diagram,TN-003-FIG-01_Vn_Diagram.png,To Create,"Flight envelope diagram showing positive (+2.5g) and negative (-1.0g) limit load factors vs speed (VS, VA, VC, VD). Include gust load lines."
TN-004,TECHNICAL_NOTES/Materials_Allowables_Selection.md,FIG-01,Material Properties Comparison,TN-004-FIG-01_Material_Props.png,To Create,"Bar chart comparing key properties (density, E-modulus, yield strength, ultimate strength) for 7075-T6, Ti-6Al-4V, IM7/8552 composite."
TN-005,TECHNICAL_NOTES/Verification_and_Validation_Strategy.md,FIG-01,V&V Process Flow,TN-005-FIG-01_VV_Process.png,To Create,"Flowchart showing V&V process: Model Development → Verification (mesh convergence, hand calc) → Validation (test correlation) → Acceptance → Release."
