Standard,Title,Application,Compliance,Status,Domain_Owner,Last_Reviewed,Impacts_Which_Docs,Notes
CS-25.367,Unsymmetrical Loads,Unsymmetrical loading conditions,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; CS25_Load_Case_List.csv,Engine-out and asymmetric cases
CS-25.391,Control Surface Loads,Control surface hinge moments and loads,Full,Active,AERODYNAMIC,2025-11-10,Flutter_Analysis.md; High_Lift_System_Analysis.md,Flight control system integration
CS-25.415,Ground Gust Conditions,Ground wind loads on parked aircraft,Full,Active,STRUCTURAL,2025-11-10,Load_Case_Definition_and_Combinations.md,Ground handling and parking loads
CS-25.427,Unsymmetrical Loads Due to Engine Failure,Engine-out loads,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; CS25_Load_Case_List.csv,Critical engine failure cases
CS-25.445,Auxiliary Aerofoil Surfaces,Loads on auxiliary surfaces (winglets),Full,Active,AERODYNAMIC,2025-11-10,CFD_Cruise_Analysis.md,If winglets are implemented
CS-25.471,Ground Loads General,General requirements for landing gear loads,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Gear_Height_Trade_Study.md,Landing gear design basis
CS-25.473,Ground Load Conditions and Assumptions,Landing conditions and assumptions,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Gear_Loads_Spreadsheet.csv,Level landing vertical drop cases
CS-25.477,Landing Gear Arrangement,Geometric arrangement requirements,Full,Active,CLEARANCE,2025-11-10,Ground_Clearance_Calculations.md; Gear_Height_Trade_Study.md,Tip-back and tail-down angles
CS-25.479,Level Landing Conditions,Symmetric landing loads,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Gear_Loads_Spreadsheet.csv,Vertical and drag loads at touchdown
CS-25.481,Tail-Down Landing Conditions,Tail strike scenarios,Full,Active,CLEARANCE,2025-11-10,Ground_Clearance_Calculations.md; Gear_Height_Trade_Study.md,Rotation angle and clearance
CS-25.483,One-Gear Landing Conditions,Single main gear landing,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Gear_Loads_Spreadsheet.csv,Asymmetric landing cases
CS-25.485,Side Load Conditions,Lateral landing loads,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Dynamic_Clearance_Study.md,Drift and crosswind landings
CS-25.487,Rebound Landing Conditions,Gear rebound scenarios,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Dynamic_Clearance_Study.md,Energy absorption system design
CS-25.491,Taxi and Ground Handling Loads,Taxi bump and turning loads,Full,Active,CLEARANCE,2025-11-10,Ground_Clearance_Calculations.md; Kinematic_Analysis.md,Ground maneuvering and taxi loads
CS-25.493,Braked Roll Conditions,Braking loads on landing gear,Full,Active,CLEARANCE,2025-11-10,Landing_Gear_Loads.md; Landing_Performance.md,Max braking and RTO scenarios
CS-25.495,Turning Conditions,Nose gear steering loads,Full,Active,CLEARANCE,2025-11-10,Kinematic_Analysis.md; Ground_Clearance_Geom_Calc.csv,Minimum turning radius analysis
CS-25.497,Tail-Wheel Yawing,N/A for BWB configuration,N/A,N/A,N/A,2025-11-10,None,Not applicable - no tail wheel
CS-25.499,Nose-Wheel Yaw and Steering,Nose gear lateral loads,Full,Active,CLEARANCE,2025-11-10,Kinematic_Analysis.md; Landing_Gear_Loads.md,Steering system loads
CS-25.561,Emergency Landing Dynamic Conditions,Crash safety requirements,Full,Active,STRUCTURAL,2025-11-10,Landing_Gear_Loads.md; Safety_Analysis.md,Energy absorption design
CS-25.571,Damage Tolerance and Fatigue Evaluation,Fatigue and damage tolerance,Full,Active,STRUCTURAL,2025-11-10,Fatigue_Analysis.md; Damage_Tolerance_Analysis.md,Slow crack growth and residual strength
MIL-HDBK-5J,Metallic Materials Properties,Material allowables for metals,Full,Active,STRUCTURAL,2025-11-10,Materials_Allowables_Selection.md; All STRUCTURAL calcs,Aluminum and titanium alloys
CMH-17,Composite Materials Handbook,Composite material properties,Full,Active,STRUCTURAL,2025-11-10,Materials_Allowables_Selection.md; Wing_Box_Section_Calcs.csv,Carbon fiber composite allowables
ASTM E1049,Cycle Counting for Fatigue Analysis,Rainflow counting method,Full,Active,STRUCTURAL,2025-11-10,Fatigue_Analysis.md,Fatigue analysis methodology
ASTM E647,Fatigue Crack Growth Rate Testing,da/dN testing for damage tolerance,Full,Active,STRUCTURAL,2025-11-10,Damage_Tolerance_Analysis.md,Crack growth data for materials
MSC Nastran,Finite Element Analysis,FEM solver for structural analysis,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; All FEM simulations,Global and local FEM models
ANSYS,Multiphysics Simulation,CFD and structural analysis,Full,Active,AERODYNAMIC,2025-11-10,CFD_Cruise_Analysis.md; All CFD simulations,CFD cruise and high-lift analysis
MATLAB/Simulink,Flight Mechanics Simulation,Performance and mission analysis,Full,Active,PERFORMANCE,2025-11-10,Range_Performance.md; All FLIGHT_MECHANICS sims,Range climb and descent models
SAE ARP 4754A,Development of Civil Aircraft,Systems development process,Full,Active,CERTIFICATION,2025-11-10,CS25_Compliance_Matrix.md; Safety_Analysis.md,Integrated aircraft development
SAE ARP 4761,Safety Assessment,Safety analysis methods (FHA FTA FMEA),Full,Active,CERTIFICATION,2025-11-10,Safety_Analysis.md,Safety analysis and risk assessment
