Requirement_ID,Requirement_Text,Criticality,DAL,Rationale,Verification_Method,Status,Parent_Requirement,Derived_Requirements
SAF-95-005,Explainability for safety-critical NN decisions,High,A/B/C,Support crew understanding and incident investigation,Explainability quality testing,Verified,,SAF-95-005-01 through SAF-95-005-03
SAF-95-005-01,Explainability algorithms implemented (SHAP/LIME),High,A/B/C,Provide decision rationale,Algorithm verification,Verified,SAF-95-005,
SAF-95-005-02,Crew training on explanation interpretation,Medium,A/B/C,Ensure crew can use explanations effectively,Training program validation,Verified,SAF-95-005,
SAF-95-005-03,Explanations logged in flight data recorder,High,A/B/C,Support post-flight analysis,FDR integration testing,Verified,SAF-95-005,
SAF-95-006,Training data representativeness validated,High,A/B/C,Ensure NN trained on appropriate data,Dataset coverage analysis,Verified,,SAF-95-006-01 through SAF-95-006-03
SAF-95-006-01,Training data covers greater than 99% of ODD,High,A/B/C,Minimize OOD encounters,Coverage measurement,Verified,SAF-95-006,
SAF-95-006-02,Bias testing across operational domain,High,A/B/C,Prevent systematic errors,Bias analysis,Verified,SAF-95-006,
SAF-95-006-03,Independent expert review of dataset,High,A/B/C,External validation of data quality,Expert review documentation,Verified,SAF-95-006,
SAF-95-007,Model performance meets safety objectives,Critical,A/B/C,Ensure adequate accuracy and reliability,Performance testing,Verified,,SAF-95-007-01 through SAF-95-007-04
SAF-95-007-01,Accuracy greater than 99.9% on test set (DAL A/B),Critical,A/B,High accuracy required for safety-critical,Test report,Verified,SAF-95-007,
SAF-95-007-02,No failures on safety-critical corner cases,Critical,A/B/C,Edge case robustness,Corner case testing,Verified,SAF-95-007,
SAF-95-007-03,Graceful degradation beyond ODD,High,A/B/C,Predictable behavior outside training,Stress testing,Verified,SAF-95-007,
SAF-95-007-04,Independent validation confirms performance,Critical,A/B,External verification,IV&V report,Verified,SAF-95-007,
SAF-95-008,Safety monitor detects NN failures,Critical,A/B,Independent checking of NN outputs,Fault injection testing,Verified,,SAF-95-008-01 through SAF-95-008-03
SAF-95-008-01,Safety monitor detection rate greater than 99%,Critical,A/B,High detection effectiveness,Detection coverage testing,Verified,SAF-95-008,
SAF-95-008-02,False alarm rate less than 0.01 per flight hour (DAL B),High,B,Minimize nuisance alerts,Operational data analysis,Verified,SAF-95-008,
SAF-95-008-03,Detection latency less than 100ms,High,A/B,Timely detection of failures,Latency measurement,Verified,SAF-95-008,
SAF-95-009,Hardware redundancy for DAL A systems,Critical,A,Prevent hardware single point of failure,Hardware architecture review,Verified,,SAF-95-009-01 through SAF-95-009-03
SAF-95-009-01,Physically separate processors for redundant channels,Critical,A,Eliminate common hardware failure,Hardware inspection,Verified,SAF-95-009,
SAF-95-009-02,ECC memory for all NN processors,High,A,Detect and correct memory errors,Memory testing,Verified,SAF-95-009,
SAF-95-009-03,Built-in test (BIT) for hardware health,High,A,Detect hardware degradation,BIT functional testing,Verified,SAF-95-009,
SAF-95-010,Software verification for NN inference code,Critical,A/B/C,Ensure correct implementation,Code review + testing,Verified,,SAF-95-010-01 through SAF-95-010-03
SAF-95-010-01,Code review by independent team,High,A/B/C,Independent verification,Review documentation,Verified,SAF-95-010,
SAF-95-010-02,Unit testing with 100% code coverage,High,A/B/C,Comprehensive testing,Test coverage report,Verified,SAF-95-010,
SAF-95-010-03,Formal methods for critical paths (where practical),Medium,A,Mathematical verification,Formal verification report,Verified,SAF-95-010,
SAF-95-011,Model versioning and configuration management,High,A/B/C,Ensure correct model loaded,Configuration management audit,Verified,,SAF-95-011-01 through SAF-95-011-03
SAF-95-011-01,Cryptographic verification of model weights,High,A/B,Prevent corrupted or wrong model,Checksum verification,Verified,SAF-95-011,
SAF-95-011-02,Version tracking for models and datasets,High,A/B/C,Traceability and change control,Version control audit,Verified,SAF-95-011,
SAF-95-011-03,Startup BIT verifies correct model loaded,High,A/B,Pre-flight verification,BIT testing,Verified,SAF-95-011,
SAF-95-012,Adversarial robustness for exposed NN systems,High,B/C,Protect against malicious inputs,Adversarial testing,Verified,,SAF-95-012-01 through SAF-95-012-02
SAF-95-012-01,Adversarial training applied during model development,High,B/C,Increase robustness to attacks,Training process verification,Verified,SAF-95-012,
SAF-95-012-02,Input sanitization and validation,High,B/C,Filter suspicious inputs,Input validation testing,Verified,SAF-95-012,
SAF-95-013,Crew training on NN systems,High,All,Ensure safe operation by crew,Training program audit,Verified,,SAF-95-013-01 through SAF-95-013-03
SAF-95-013-01,Ground school covering NN fundamentals and systems,High,All,Theoretical knowledge,Training records,Verified,SAF-95-013,
SAF-95-013-02,Simulator training with nominal and failure scenarios,High,All,Practical skills,Simulator records,Verified,SAF-95-013,
SAF-95-013-03,Line training with supervised NN operations,High,All,Real-world experience,Line training records,Verified,SAF-95-013,
SAF-95-014,Documentation for NN systems,High,All,Support safe operation and certification,Documentation review,Verified,,SAF-95-014-01 through SAF-95-014-05
SAF-95-014-01,Flight crew operating manual (FCOM) procedures,High,All,Operational guidance,FCOM review,Verified,SAF-95-014,
SAF-95-014-02,Aircraft maintenance manual (AMM) for NN systems,High,All,Maintenance procedures,AMM review,Verified,SAF-95-014,
SAF-95-014-03,Minimum equipment list (MEL) for NN systems,High,All,Dispatch requirements,MEL review,Verified,SAF-95-014,
SAF-95-014-04,Safety assessment reports (FHA FMEA FTA CCA),Critical,A/B/C,Certification evidence,Safety reports review,Verified,SAF-95-014,
SAF-95-014-05,Model cards and dataset cards,High,A/B/C,NN system documentation,Card review,Verified,SAF-95-014,
SAF-95-015,Continuous monitoring and improvement,High,All,Maintain safety through lifecycle,Monitoring system audit,Verified,,SAF-95-015-01 through SAF-95-015-03
SAF-95-015-01,Operational data collection and analysis,High,All,Track performance in service,Data collection verification,Verified,SAF-95-015,
SAF-95-015-02,Incident investigation and corrective action,Critical,All,Learn from failures,Investigation process audit,Verified,SAF-95-015,
SAF-95-015-03,Periodic revalidation and model updates,High,All,Maintain performance over time,Update process verification,Verified,SAF-95-015,
